centrality	0	20  636.2    104.9					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.1	1	1.2	0.472595	0.0745929	-0.0745929	0.0618606	-0.0618606
1.45	1.2	1.7	0.150216	0.0107813	-0.0107813	0.01996	-0.01996
1.95	1.7	2.2	0.0465238	0.00255639	-0.00255639	0.00610561	-0.00610561
2.45	2.2	2.7	0.0121983	0.000834582	-0.000834582	0.0016273	-0.0016273
2.95	2.7	3.2	0.00377132	0.000293166	-0.000293166	0.000509753	-0.000509753
3.45	3.2	3.7	0.00126492	0.000126323	-0.000126323	0.000172695	-0.000172695
3.95	3.7	4.2	0.000366495	5.80E-05	-5.80E-05	5.02E-05	-5.02E-05
4.45	4.2	4.7	0.000134755	3.19E-05	-3.19E-05	1.86E-05	-1.86E-05
5.5	5	6	1.72E-05	6.05E-06	-6.05E-06	2.30E-06	-2.30E-06
7	6	8	1.67E-06	1.02E-06	-1.02E-06	1.69E-07	-1.69E-07
							
centrality	20	40  268.1    42.7					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.1	1	1.2	0.240416	0.0271544	-0.0271544	0.0299581	-0.0299581
1.45	1.2	1.7	0.072821	0.00394446	-0.00394446	0.00907104	-0.00907104
1.95	1.7	2.2	0.0228169	0.000943074	-0.000943074	0.00274979	-0.00274979
2.45	2.2	2.7	0.00651203	0.000294884	-0.000294884	0.000791749	-0.000791749
2.95	2.7	3.2	0.00207658	0.000103616	-0.000103616	0.000255931	-0.000255931
3.45	3.2	3.7	0.000648658	4.47E-05	-4.47E-05	8.14E-05	-8.14E-05
3.95	3.7	4.2	0.000212254	2.05E-05	-2.05E-05	2.71E-05	-2.71E-05
4.45	4.2	4.7	8.94E-05	1.12E-05	-1.12E-05	1.17E-05	-1.17E-05
5.5	5	6	9.80E-06	2.10E-06	-2.10E-06	1.33E-06	-1.33E-06
7	6	8	0	0	0	0	0
							
centrality	40	60  0   0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.1	1	1.2	0.0588385	0.00895869	-0.00895869	0.00610681	-0.00610681
1.45	1.2	1.7	0.0213492	0.00128837	-0.00128837	0.00227996	-0.00227996
1.95	1.7	2.2	0.00706256	0.000303512	-0.000303512	0.000756153	-0.000756153
2.45	2.2	2.7	0.00187976	9.22E-05	-9.22E-05	0.000213975	-0.000213975
2.95	2.7	3.2	0.000580678	3.22E-05	-3.22E-05	7.07E-05	-7.07E-05
3.45	3.2	3.7	0.000195402	1.40E-05	-1.40E-05	2.56E-05	-2.56E-05
3.95	3.7	4.2	6.84E-05	6.48E-06	-6.48E-06	9.60E-06	-9.60E-06
4.45	4.2	4.7	2.53E-05	3.61E-06	-3.61E-06	3.84E-06	-3.84E-06
5.5	5	6	4.35E-06	6.92E-07	-6.92E-07	7.65E-07	-7.65E-07
7	6	8	0	0	0	0	0
							
centrality	60	80  0   0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.1	1	1.2	0.00962436	0.00226278	-0.00226278	0.00114375	-0.00114375
1.45	1.2	1.7	0.00331966	0.00027807	-0.00027807	0.000399909	-0.000399909
1.95	1.7	2.2	0.00130226	6.54E-05	-6.54E-05	0.00015585	-0.00015585
2.45	2.2	2.7	0.000318175	2.05E-05	-2.05E-05	3.99E-05	-3.99E-05
2.95	2.7	3.2	9.51E-05	7.31E-06	-7.31E-06	1.26E-05	-1.26E-05
3.45	3.2	3.7	3.13E-05	3.27E-06	-3.27E-06	4.42E-06	-4.42E-06
3.95	3.7	4.2	1.16E-05	1.61E-06	-1.61E-06	1.76E-06	-1.76E-06
4.45	4.2	4.7	4.62E-06	9.42E-07	-9.42E-07	7.55E-07	-7.55E-07
5.5	5	6	8.96E-07	1.93E-07	-1.93E-07	1.71E-07	-1.71E-07
7	6	8	0	0	0	0	0
							
centrality	0	80  0   0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.1	1	1.2	0.187437	0.0184224	-0.0184224	0.020796	-0.020796
1.45	1.2	1.7	0.0640279	0.00268055	-0.00268055	0.00703779	-0.00703779
1.95	1.7	2.2	0.0214072	0.000635406	-0.000635406	0.00223134	-0.00223134
2.45	2.2	2.7	0.00609129	0.000205321	-0.000205321	0.000638617	-0.000638617
2.95	2.7	3.2	0.00177336	7.20E-05	-7.20E-05	0.000188989	-0.000188989
3.45	3.2	3.7	0.000573921	3.10E-05	-3.10E-05	6.28E-05	-6.28E-05
3.95	3.7	4.2	0.000195016	1.42E-05	-1.42E-05	2.19E-05	-2.19E-05
4.45	4.2	4.7	6.97E-05	7.82E-06	-7.82E-06	8.20E-06	-8.20E-06
5.5	5	6	8.88E-06	1.48E-06	-1.48E-06	1.12E-06	-1.12E-06
7	6	8	7.53E-07	2.47E-07	-2.47E-07	9.50E-08	-9.50E-08
