centrality	0	10	623.9	32.2
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-	
1.25	1	1.5	2.85E+00	4.69E-02	-4.69E-02	2.01E-01	-2.01E-01
1.75	1.5	2	5.20E-01	6.81E-03	-6.81E-03	3.62E-02	-3.62E-02
2.25	2	2.5	1.08E-01	1.39E-03	-1.39E-03	8.02E-03	-8.02E-03
2.75	2.5	3	2.22E-02	3.03E-04	-3.03E-04	1.71E-03	-1.71E-03
3.25	3	3.5	5.41E-03	8.29E-05	-8.29E-05	4.30E-04	-4.30E-04
3.75	3.5	4	1.63E-03	2.73E-05	-2.73E-05	1.29E-04	-1.29E-04
4.25	4	4.5	5.50E-04	1.04E-05	-1.04E-05	4.34E-05	-4.34E-05
4.75	4.5	5	2.21E-04	4.58E-06	-4.58E-06	1.73E-05	-1.73E-05
5.25	5	5.5	8.91E-05	2.14E-06	-2.14E-06	6.87E-06	-6.87E-06
5.75	5.5	6	4.28E-05	1.22E-06	-1.22E-06	3.26E-06	-3.26E-06
6.25	6	6.5	2.22E-05	6.99E-07	-6.99E-07	1.67E-06	-1.67E-06
6.75	6.5	7	1.28E-05	3.27E-07	-3.27E-07	9.47E-07	-9.47E-07
7.25	7	7.5	6.91E-06	2.10E-07	-2.10E-07	5.09E-07	-5.09E-07
7.75	7.5	8	3.86E-06	1.35E-07	-1.35E-07	2.82E-07	-2.82E-07
8.25	8	8.5	2.28E-06	9.40E-08	-9.40E-08	1.67E-07	-1.67E-07
8.75	8.5	9	1.49E-06	6.58E-08	-6.58E-08	1.09E-07	-1.09E-07
9.25	9	9.5	9.65E-07	4.99E-08	-4.99E-08	7.21E-08	-7.21E-08
9.75	9.5	10	6.62E-07	4.06E-08	-4.06E-08	5.04E-08	-5.04E-08
11	10	12	2.57E-07	1.24E-08	-1.24E-08	2.24E-08	-2.24E-08
13	12	14	5.27E-08	5.95E-09	-5.95E-09	6.25E-09	-6.25E-09
15	14	16	2.31E-08	3.36E-09	-3.36E-09	3.31E-09	-3.31E-09
17	16	18	1.02E-08	2.12E-09	-2.12E-09	1.88E-09	-1.88E-09
19	18	20	4.15E-09	2.08E-09	-2.08E-09	1.73E-09	-1.73E-09

centrality	10	20	414.2	20.2
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-	
1.25	1	1.5	2.09E+00	3.34E-02	-3.34E-02	1.57E-01	-1.57E-01
1.75	1.5	2	3.62E-01	4.10E-03	-4.10E-03	2.56E-02	-2.56E-02
2.25	2	2.5	7.64E-02	8.28E-04	-8.28E-04	5.69E-03	-5.69E-03
2.75	2.5	3	1.74E-02	1.95E-04	-1.95E-04	1.35E-03	-1.35E-03
3.25	3	3.5	4.46E-03	5.59E-05	-5.59E-05	3.57E-04	-3.57E-04
3.75	3.5	4	1.40E-03	1.88E-05	-1.88E-05	1.12E-04	-1.12E-04
4.25	4	4.5	4.65E-04	7.10E-06	-7.10E-06	3.71E-05	-3.71E-05
4.75	4.5	5	1.83E-04	3.35E-06	-3.35E-06	1.45E-05	-1.45E-05
5.25	5	5.5	7.99E-05	1.68E-06	-1.68E-06	6.25E-06	-6.25E-06
5.75	5.5	6	3.57E-05	9.19E-07	-9.19E-07	2.76E-06	-2.76E-06
6.25	6	6.5	1.85E-05	5.51E-07	-5.51E-07	1.41E-06	-1.41E-06
6.75	6.5	7	1.04E-05	2.47E-07	-2.47E-07	7.90E-07	-7.90E-07
7.25	7	7.5	5.71E-06	1.58E-07	-1.58E-07	4.28E-07	-4.28E-07
7.75	7.5	8	3.36E-06	1.14E-07	-1.14E-07	2.50E-07	-2.50E-07
8.25	8	8.5	2.08E-06	7.99E-08	-7.99E-08	1.56E-07	-1.56E-07
8.75	8.5	9	1.19E-06	5.70E-08	-5.70E-08	8.90E-08	-8.90E-08
9.25	9	9.5	8.63E-07	4.38E-08	-4.38E-08	6.62E-08	-6.62E-08	
9.75	9.5	10	4.81E-07	3.04E-08	-3.04E-08	3.85E-08	-3.85E-08
11	10	12	2.04E-07	1.04E-08	-1.04E-08	1.83E-08	-1.83E-08
13	12	14	5.34E-08	4.97E-09	-4.97E-09	6.26E-09	-6.26E-09
15	14	16	2.37E-08	3.24E-09	-3.24E-09	3.50E-09	-3.50E-09
17	16	18	5.59E-09	1.45E-09	-1.45E-09	1.15E-09	-1.15E-09
19	18	20	4.70E-09	2.10E-09	-2.10E-09	1.96E-09	-1.96E-09

centrality	20	30	274	14.8				
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	1.39E+00	1.91E-02	-1.91E-02	9.82E-02	-9.82E-02
1.75	1.5	2	2.54E-01	2.68E-03	-2.68E-03	1.73E-02	-1.73E-02
2.25	2	2.5	5.37E-02	5.48E-04	-5.48E-04	3.91E-03	-3.91E-03
2.75	2.5	3	1.25E-02	1.33E-04	-1.33E-04	9.53E-04	-9.53E-04
3.25	3	3.5	3.30E-03	3.82E-05	-3.82E-05	2.61E-04	-2.61E-04
3.75	3.5	4	1.06E-03	1.35E-05	-1.35E-05	8.42E-05	-8.42E-05
4.25	4	4.5	3.69E-04	5.33E-06	-5.33E-06	2.90E-05	-2.90E-05
4.75	4.5	5	1.48E-04	2.44E-06	-2.44E-06	1.16E-05	-1.16E-05
5.25	5	5.5	6.16E-05	1.25E-06	-1.25E-06	4.76E-06	-4.76E-06
5.75	5.5	6	2.92E-05	7.07E-07	-7.07E-07	2.23E-06	-2.23E-06
6.25	6	6.5	1.52E-05	4.37E-07	-4.37E-07	1.15E-06	-1.15E-06
6.75	6.5	7	7.86E-06	1.89E-07	-1.89E-07	5.88E-07	-5.88E-07
7.25	7	7.5	4.13E-06	1.26E-07	-1.26E-07	3.06E-07	-3.06E-07
7.75	7.5	8	2.50E-06	9.01E-08	-9.01E-08	1.85E-07	-1.85E-07
8.25	8	8.5	1.60E-06	6.78E-08	-6.78E-08	1.19E-07	-1.19E-07
8.75	8.5	9	1.09E-06	5.01E-08	-5.01E-08	8.18E-08	-8.18E-08
9.25	9	9.5	6.49E-07	3.89E-08	-3.89E-08	4.91E-08	-4.91E-08
9.75	9.5	10	4.12E-07	3.12E-08	-3.12E-08	3.24E-08	-3.24E-08
11	10	12	1.53E-07	9.11E-09	-9.11E-09	1.36E-08	-1.36E-08
13	12	14	4.16E-08	4.50E-09	-4.50E-09	5.08E-09	-5.08E-09
15	14	16	1.42E-08	2.20E-09	-2.20E-09	2.34E-09	-2.34E-09
