centrality	0	100	2.38	0.09									
pt	ptlow	pthigh	yield	stat+	stat-	sys+	sys-						
0.625	0.5	0.75	0.141666667	7.33333E-05	-7.33333E-05	0.017904762	-0.017904762						
0.875	0.75	1	0.042380952	2.31667E-05	-2.31667E-05	0.003095238	-0.003095238						
1.25	1	1.5	0.009428571	6.61905E-06	-6.61905E-06	0.000645238	-0.000645238						
1.75	1.5	2	0.001464286	1.63E-06	-1.63E-06	0.000108571	-0.000108571						
2.25	2	2.5	0.000309524	5.83E-07	-5.83E-07	2.45238E-05	-2.45238E-05						
2.75	2.5	3	7.83333E-05	2.45E-07	-2.45E-07	6.40476E-06	-6.40476E-06						
3.25	3	3.5	2.33095E-05	1.17E-07	-1.17E-07	1.95E-06	-1.95E-06						
3.75	3.5	4	7.80952E-06	6.07E-08	-6.07E-08	6.64E-07	-6.64E-07						
4.25	4	4.5	2.83333E-06	5.33E-09	-5.33E-09	2.60E-07	-2.60E-07						
4.75	4.5	5	1.16E-06	3.17E-09	-3.17E-09	1.08E-07	-1.08E-07						
5.25	5	5.5	5.14E-07	1.97E-09	-1.97E-09	4.79E-08	-4.79E-08						
5.75	5.5	6	2.48E-07	1.29E-09	-1.29E-09	2.31E-08	-2.31E-08						
6.25	6	6.5	1.24E-07	8.69E-10	-8.69E-10	1.16E-08	-1.16E-08						
6.75	6.5	7	6.55E-08	6.05E-10	-6.05E-10	6.17E-09	-6.17E-09						
7.25	7	7.5	3.71E-08	4.36E-10	-4.36E-10	3.52E-09	-3.52E-09						
7.75	7.5	8	2.17E-08	3.19E-10	-3.19E-10	2.07E-09	-2.07E-09						
8.25	8	8.5	1.30E-08	2.37E-10	-2.37E-10	1.24E-09	-1.24E-09						
8.75	8.5	9	8.26E-09	1.81E-10	-1.81E-10	7.98E-10	-7.98E-10						
9.25	9	9.5	5.10E-09	1.38E-10	-1.38E-10	4.93E-10	-4.93E-10						
9.75	9.5	10	3.17E-09	1.07E-10	-1.07E-10	3.10E-10	-3.10E-10						
11	10	12	1.41E-09	3.40E-11	-3.40E-11	1.43E-10	-1.43E-10						
13	12	14	3.55E-10	1.64E-11	-1.64E-11	3.95E-11	-3.95E-11						
15	14	16	8.81E-11	7.19E-12	-7.19E-12	1.07E-11	-1.07E-11						
17	16	18	2.98E-11	3.93E-12	-3.93E-12	4.14E-12	-4.14E-12						
19	18	20	1.30E-11	2.71E-12	-2.71E-12	2.05E-12	-2.05E-12						
