centrality	0	100 12.2    1.4
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.06262	3.39E-05	-3.39E-05	0.005063	-0.005063
1.75	1.5	2	0.01105	7.23E-06	-7.23E-06	0.0009048	-0.0009048
2.25	2	2.5	0.002572	2.36E-06	-2.36E-06	0.0002143	-0.0002143
2.75	2.5	3	0.0007029	9.34E-07	-9.34E-07	5.93E-05	-5.93E-05
3.25	3	3.5	0.0002163	4.30E-07	-4.30E-07	1.86E-05	-1.86E-05
3.75	3.5	4	7.71E-05	2.24E-07	-2.24E-07	6.69E-06	-6.69E-06
4.25	4	4.5	2.91E-05	1.26E-07	-1.26E-07	2.61E-06	-2.61E-06
4.75	4.5	5	1.21E-05	7.47E-08	-7.47E-08	1.10E-06	-1.10E-06
5.25	5	5.5	5.36E-06	4.68E-08	-4.68E-08	4.98E-07	-4.98E-07
5.75	5.5	6	2.55E-06	3.07E-08	-3.07E-08	2.39E-07	-2.39E-07
6.25	6	6.5	1.29E-06	7.39E-09	-7.39E-09	1.21E-07	-1.21E-07
6.75	6.5	7	6.87E-07	5.07E-09	-5.07E-09	6.51E-08	-6.51E-08
7.25	7	7.5	3.79E-07	3.57E-09	-3.57E-09	3.72E-08	-3.72E-08
7.75	7.5	8	2.17E-07	2.58E-09	-2.58E-09	2.13E-08	-2.13E-08
8.25	8	8.5	1.29E-07	1.92E-09	-1.92E-09	1.26E-08	-1.26E-08
8.75	8.5	9	7.93E-08	1.44E-09	-1.44E-09	7.74E-09	-7.74E-09
9.25	9	9.5	5.06E-08	1.11E-09	-1.11E-09	4.75E-09	-4.75E-09
9.75	9.5	10	3.16E-08	8.76E-10	-8.76E-10	2.97E-09	-2.97E-09
11	10	12	1.18E-08	2.32E-10	-2.32E-10	1.12E-09	-1.12E-09
13	12	14	2.94E-09	1.12E-10	-1.12E-10	2.82E-10	-2.82E-10
15	14	16	8.62E-10	4.85E-11	-4.85E-11	9.61E-11	-9.61E-11
17	16	18	2.84E-10	3.02E-11	-3.02E-11	3.68E-11	-3.68E-11
19	18	20	9.32E-11	2.01E-11	-2.01E-11	1.42E-11	-1.42E-11
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0
							
centrality	0	5   23.6    2.6
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.1355	0.0001208	-0.0001208	0.01096	-0.01096
1.75	1.5	2	0.02599	2.47E-05	-2.47E-05	0.002128	-0.002128
2.25	2	2.5	0.006106	7.76E-06	-7.76E-06	0.0005087	-0.0005087
2.75	2.5	3	0.001671	2.96E-06	-2.96E-06	0.000141	-0.000141
3.25	3	3.5	0.0005145	1.33E-06	-1.33E-06	4.42E-05	-4.42E-05
3.75	3.5	4	0.0001791	6.76E-07	-6.76E-07	1.55E-05	-1.55E-05
4.25	4	4.5	6.65E-05	3.75E-07	-3.75E-07	5.96E-06	-5.96E-06
4.75	4.5	5	2.74E-05	2.20E-07	-2.20E-07	2.48E-06	-2.48E-06
5.25	5	5.5	1.19E-05	1.35E-07	-1.35E-07	1.11E-06	-1.11E-06
5.75	5.5	6	5.66E-06	8.82E-08	-8.82E-08	5.29E-07	-5.29E-07
6.25	6	6.5	2.76E-06	5.94E-08	-5.94E-08	2.60E-07	-2.60E-07
6.75	6.5	7	1.45E-06	4.05E-08	-4.05E-08	1.37E-07	-1.37E-07
7.25	7	7.5	7.72E-07	2.80E-08	-2.80E-08	7.58E-08	-7.58E-08
7.75	7.5	8	4.52E-07	2.05E-08	-2.05E-08	4.44E-08	-4.44E-08
8.25	8	8.5	2.58E-07	1.49E-08	-1.49E-08	2.51E-08	-2.51E-08
8.75	8.5	9	1.63E-07	1.14E-08	-1.14E-08	1.60E-08	-1.60E-08
9.25	9	9.5	1.00E-07	8.58E-09	-8.58E-09	9.41E-09	-9.41E-09
9.75	9.5	10	7.09E-08	6.93E-09	-6.93E-09	6.67E-09	-6.67E-09
11	10	12	0	0	0	0	0
13	12	14	0	0	0	0	0
15	14	16	0	0	0	0	0
17	16	18	0	0	0	0	0
19	18	20	0	0	0	0	0
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0
							
centrality	0	20  21.4  2.3
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.1197	0.0001104	-0.0001104	0.009678	-0.009678
1.75	1.5	2	0.02199	2.40E-05	-2.40E-05	0.001801	-0.001801
2.25	2	2.5	0.005275	7.78E-06	-7.78E-06	0.0004394	-0.0004394
2.75	2.5	3	0.001446	3.02E-06	-3.02E-06	0.000122	-0.000122
3.25	3	3.5	0.0004471	1.37E-06	-1.37E-06	3.84E-05	-3.84E-05
3.75	3.5	4	0.0001561	7.04E-07	-7.04E-07	1.35E-05	-1.35E-05
4.25	4	4.5	5.91E-05	3.93E-07	-3.93E-07	5.29E-06	-5.29E-06
4.75	4.5	5	2.47E-05	2.31E-07	-2.31E-07	2.23E-06	-2.23E-06
5.25	5	5.5	1.08E-05	1.43E-07	-1.43E-07	1.00E-06	-1.00E-06
5.75	5.5	6	5.19E-06	9.38E-08	-9.38E-08	4.86E-07	-4.86E-07
6.25	6	6.5	2.59E-06	2.26E-08	-2.26E-08	2.43E-07	-2.43E-07
6.75	6.5	7	1.36E-06	1.54E-08	-1.54E-08	1.29E-07	-1.29E-07
7.25	7	7.5	7.46E-07	1.08E-08	-1.08E-08	7.31E-08	-7.31E-08
7.75	7.5	8	4.27E-07	7.74E-09	-7.74E-09	4.19E-08	-4.19E-08
8.25	8	8.5	2.50E-07	5.70E-09	-5.70E-09	2.44E-08	-2.44E-08
8.75	8.5	9	1.54E-07	4.32E-09	-4.32E-09	1.50E-08	-1.50E-08
9.25	9	9.5	9.73E-08	3.26E-09	-3.26E-09	9.14E-09	-9.14E-09
9.75	9.5	10	5.98E-08	2.58E-09	-2.58E-09	5.63E-09	-5.63E-09
11	10	12	2.29E-08	6.75E-10	-6.75E-10	2.18E-09	-2.18E-09
13	12	14	5.64E-09	3.28E-10	-3.28E-10	5.43E-10	-5.43E-10
15	14	16	1.73E-09	1.46E-10	-1.46E-10	1.93E-10	-1.93E-10
17	16	18	5.14E-10	8.41E-11	-8.41E-11	6.66E-11	-6.66E-11
19	18	20	1.79E-10	5.76E-11	-5.76E-11	2.73E-11	-2.73E-11
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0
							
centrality	20	40  16.1  1.8
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.09583	9.37E-05	-9.37E-05	0.007748	-0.007748
1.75	1.5	2	0.01673	1.94E-05	-1.94E-05	0.00137	-0.00137
2.25	2	2.5	0.003793	6.31E-06	-6.31E-06	0.000316	-0.000316
2.75	2.5	3	0.001043	2.50E-06	-2.50E-06	8.80E-05	-8.80E-05
3.25	3	3.5	0.0003237	1.15E-06	-1.15E-06	2.78E-05	-2.78E-05
3.75	3.5	4	0.0001153	6.02E-07	-6.02E-07	1.00E-05	-1.00E-05
4.25	4	4.5	4.35E-05	3.39E-07	-3.39E-07	3.89E-06	-3.89E-06
4.75	4.5	5	1.81E-05	2.02E-07	-2.02E-07	1.64E-06	-1.64E-06
5.25	5	5.5	8.01E-06	1.28E-07	-1.28E-07	7.44E-07	-7.44E-07
5.75	5.5	6	3.82E-06	8.28E-08	-8.28E-08	3.57E-07	-3.57E-07
6.25	6	6.5	1.89E-06	1.96E-08	-1.96E-08	1.78E-07	-1.78E-07
6.75	6.5	7	1.01E-06	1.34E-08	-1.34E-08	9.54E-08	-9.54E-08
7.25	7	7.5	5.50E-07	9.41E-09	-9.41E-09	5.40E-08	-5.40E-08
7.75	7.5	8	3.23E-07	6.86E-09	-6.86E-09	3.17E-08	-3.17E-08
8.25	8	8.5	1.93E-07	5.07E-09	-5.07E-09	1.89E-08	-1.89E-08
8.75	8.5	9	1.17E-07	3.80E-09	-3.80E-09	1.14E-08	-1.14E-08
9.25	9	9.5	7.61E-08	2.96E-09	-2.96E-09	7.15E-09	-7.15E-09
9.75	9.5	10	4.61E-08	2.33E-09	-2.33E-09	4.34E-09	-4.34E-09
11	10	12	1.82E-08	6.27E-10	-6.27E-10	1.73E-09	-1.73E-09
13	12	14	4.44E-09	2.93E-10	-2.93E-10	4.27E-10	-4.27E-10
15	14	16	1.30E-09	1.28E-10	-1.28E-10	1.45E-10	-1.45E-10
17	16	18	4.94E-10	8.16E-11	-8.16E-11	6.41E-11	-6.41E-11
19	18	20	1.94E-10	6.29E-11	-6.29E-11	2.96E-11	-2.96E-11
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0
							
centrality	40	60  10.3    1.1
