centrality	0	20  16.4    1.2
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.0955	2.54E-05	-2.54E-05	0.007611	-0.007611
1.75	1.5	2	0.0173	6.97E-06	-6.97E-06	0.001437	-0.001437
2.25	2	2.5	0.004188	2.73E-06	-2.73E-06	0.0003498	-0.0003498
2.75	2.5	3	0.001103	1.21E-06	-1.21E-06	9.27E-05	-9.27E-05
3.25	3	3.5	0.0003451	5.50E-07	-5.50E-07	3.03E-05	-3.03E-05
3.75	3.5	4	0.0001199	3.08E-07	-3.08E-07	1.11E-05	-1.11E-05
4.25	4	4.5	4.44E-05	1.77E-07	-1.77E-07	4.20E-06	-4.20E-06
4.75	4.5	5	1.79E-05	1.02E-07	-1.02E-07	1.70E-06	-1.70E-06
5.25	5	5.5	7.71E-06	6.33E-08	-6.33E-08	7.34E-07	-7.34E-07
5.75	5.5	6	3.61E-06	4.02E-08	-4.02E-08	3.45E-07	-3.45E-07
6.25	6	6.5	1.74E-06	2.67E-08	-2.67E-08	1.68E-07	-1.68E-07
6.75	6.5	7	8.91E-07	1.84E-08	-1.84E-08	8.70E-08	-8.70E-08
7.25	7	7.5	4.84E-07	1.47E-09	-1.47E-09	4.77E-08	-4.77E-08
7.75	7.5	8	2.86E-07	1.10E-09	-1.10E-09	2.84E-08	-2.84E-08
8.25	8	8.5	1.70E-07	8.20E-10	-8.20E-10	1.70E-08	-1.70E-08
8.75	8.5	9	1.03E-07	6.14E-10	-6.14E-10	1.03E-08	-1.03E-08
9.25	9	9.5	6.41E-08	4.71E-10	-4.71E-10	6.28E-09	-6.28E-09
9.75	9.5	10	4.02E-08	3.74E-10	-3.74E-10	3.94E-09	-3.94E-09
11	10	12	1.54E-08	2.17E-10	-2.17E-10	1.54E-09	-1.54E-09
13	12	14	3.74E-09	8.87E-11	-8.87E-11	4.11E-10	-4.11E-10
15	14	16	1.14E-09	5.00E-11	-5.00E-11	1.43E-10	-1.43E-10
17	16	18	3.62E-10	2.93E-11	-2.93E-11	5.04E-11	-5.04E-11
19	18	20	1.17E-10	1.83E-11	-1.83E-11	1.78E-11	-1.78E-11
21	20	22	5.34E-11	1.95E-11	-1.95E-11	8.90E-12	-8.90E-12
23.5	22	25	4.48E-12	6.34E-12	-6.34E-12	8.19E-13	-8.19E-13

centrality	20	40  12.2    0.9
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.07058	2.27E-05	-2.27E-05	0.005625	-0.005625
1.75	1.5	2	0.01233	6.06E-06	-6.06E-06	0.001024	-0.001024
2.25	2	2.5	0.002915	2.32E-06	-2.32E-06	0.0002435	-0.0002435
2.75	2.5	3	0.0007666	9.96E-07	-9.96E-07	6.44E-05	-6.44E-05
3.25	3	3.5	0.0002435	5.05E-07	-5.05E-07	2.14E-05	-2.14E-05
3.75	3.5	4	8.60E-05	2.73E-07	-2.73E-07	7.98E-06	-7.98E-06
4.25	4	4.5	3.12E-05	1.49E-07	-1.49E-07	2.95E-06	-2.95E-06
4.75	4.5	5	1.26E-05	8.66E-08	-8.66E-08	1.19E-06	-1.19E-06
5.25	5	5.5	5.60E-06	5.46E-08	-5.46E-08	5.33E-07	-5.33E-07
