centrality	0	5   12.3    1.7
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.07027	3.14E-05	-3.14E-05	0.006323	-0.006323
1.75	1.5	2	0.01132	5.89E-06	-5.89E-06	0.001083	-0.001083
2.25	2	2.5	0.00272	2.00E-06	-2.00E-06	0.0002628	-0.0002628
2.75	2.5	3	0.0007873	8.64E-07	-8.64E-07	7.68E-05	-7.68E-05
3.25	3	3.5	0.000248	4.11E-07	-4.11E-07	2.45E-05	-2.45E-05
3.75	3.5	4	8.54E-05	2.15E-07	-2.15E-07	8.42E-06	-8.42E-06
4.25	4	4.5	3.22E-05	1.21E-07	-1.21E-07	3.21E-06	-3.21E-06
4.75	4.5	5	1.28E-05	6.97E-08	-6.97E-08	1.27E-06	-1.27E-06
5.25	5	5.5	5.41E-06	4.27E-08	-4.27E-08	5.44E-07	-5.44E-07
5.75	5.5	6	2.45E-06	2.69E-08	-2.69E-08	2.46E-07	-2.46E-07
6.25	6	6.5	1.15E-06	1.74E-08	-1.74E-08	1.17E-07	-1.17E-07
6.75	6.5	7	6.07E-07	1.20E-08	-1.20E-08	6.16E-08	-6.16E-08
7.25	7	7.5	3.17E-07	8.32E-09	-8.32E-09	3.22E-08	-3.22E-08
7.75	7.5	8	1.79E-07	5.99E-09	-5.99E-09	1.82E-08	-1.82E-08
8.25	8	8.5	1.06E-07	4.29E-09	-4.29E-09	1.08E-08	-1.08E-08
8.75	8.5	9	6.34E-08	3.24E-09	-3.24E-09	6.44E-09	-6.44E-09
9.25	9	9.5	3.89E-08	2.42E-09	-2.42E-09	3.86E-09	-3.86E-09
9.75	9.5	10	2.62E-08	1.94E-09	-1.94E-09	2.60E-09	-2.60E-09
11	10	12	0	0	0	0	0
13	12	14	0	0	0	0	0
15	14	16	0	0	0	0	0
17	16	18	0	0	0	0	0
19	18	20	0	0	0	0	0
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0

centrality	0	20  10.4  1.5
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.05415	6.59E-05	-6.59E-05	0.004873	-0.004873
1.75	1.5	2	0.009491	1.39E-05	-1.39E-05	0.0009078	-0.0009078
2.25	2	2.5	0.002324	4.93E-06	-4.93E-06	0.0002246	-0.0002246
2.75	2.5	3	0.0006502	2.08E-06	-2.08E-06	6.35E-05	-6.35E-05
3.25	3	3.5	0.0002037	9.92E-07	-9.92E-07	2.01E-05	-2.01E-05
3.75	3.5	4	7.07E-05	5.19E-07	-5.19E-07	6.97E-06	-6.97E-06
4.25	4	4.5	2.65E-05	2.91E-07	-2.91E-07	2.64E-06	-2.64E-06
4.75	4.5	5	1.10E-05	1.74E-07	-1.74E-07	1.09E-06	-1.09E-06
5.25	5	5.5	4.53E-06	1.06E-07	-1.06E-07	4.56E-07	-4.56E-07
5.75	5.5	6	2.09E-06	6.94E-09	-6.94E-09	2.10E-07	-2.10E-07
6.25	6	6.5	1.03E-06	4.65E-09	-4.65E-09	1.05E-07	-1.05E-07
6.75	6.5	7	5.36E-07	3.19E-09	-3.19E-09	5.44E-08	-5.44E-08
7.25	7	7.5	2.88E-07	2.23E-09	-2.23E-09	2.93E-08	-2.93E-08
7.75	7.5	8	1.62E-07	1.61E-09	-1.61E-09	1.64E-08	-1.64E-08
8.25	8	8.5	9.27E-08	1.16E-09	-1.16E-09	9.41E-09	-9.41E-09
8.75	8.5	9	5.72E-08	8.81E-10	-8.81E-10	5.80E-09	-5.80E-09
9.25	9	9.5	3.51E-08	6.69E-10	-6.69E-10	3.47E-09	-3.47E-09
9.75	9.5	10	2.18E-08	5.16E-10	-5.16E-10	2.16E-09	-2.16E-09
11	10	12	8.49E-09	1.42E-10	-1.42E-10	8.41E-10	-8.41E-10
13	12	14	2.10E-09	5.25E-11	-5.25E-11	2.16E-10	-2.16E-10
15	14	16	6.47E-10	3.38E-11	-3.38E-11	7.36E-11	-7.36E-11
17	16	18	2.12E-10	2.10E-11	-2.10E-11	2.62E-11	-2.62E-11
19	18	20	8.18E-11	1.35E-11	-1.35E-11	1.11E-11	-1.11E-11
21	20	22	2.80E-11	8.09E-12	-8.09E-12	3.99E-12	-3.99E-12
23.5	22	25	0	0	0	0	0

centrality	20	40  7.7 1.1
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.03962	5.46E-05	-5.46E-05	0.003565	-0.003565
1.75	1.5	2	0.006821	1.18E-05	-1.18E-05	0.0006524	-0.0006524
2.25	2	2.5	0.001664	4.24E-06	-4.24E-06	0.0001608	-0.0001608
2.75	2.5	3	0.0004638	1.82E-06	-1.82E-06	4.53E-05	-4.53E-05
3.25	3	3.5	0.0001459	8.72E-07	-8.72E-07	1.44E-05	-1.44E-05
3.75	3.5	4	5.13E-05	4.62E-07	-4.62E-07	5.06E-06	-5.06E-06
4.25	4	4.5	1.95E-05	2.62E-07	-2.62E-07	1.94E-06	-1.94E-06
4.75	4.5	5	8.01E-06	1.60E-07	-1.60E-07	7.97E-07	-7.97E-07
5.25	5	5.5	3.37E-06	9.63E-08	-9.63E-08	3.39E-07	-3.39E-07
5.75	5.5	6	1.63E-06	6.48E-09	-6.48E-09	1.64E-07	-1.64E-07
6.25	6	6.5	8.25E-07	4.39E-09	-4.39E-09	8.37E-08	-8.37E-08
