centrality	0	10	623.9	32.2
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1.0	1.5	2.439e+00	6.181e-02	-6.181e-02	2.483e-01	-2.483e-01
1.75	1.5	2.0	4.731e-01	9.445e-03	-9.445e-03	4.893e-02	-4.893e-02
2.25	2.0	2.5	9.716e-02	2.497e-03	-2.497e-03	1.019e-02	-1.019e-02
2.75	2.5	3.0	2.194e-02	7.971e-04	-7.971e-04	2.366e-03	-2.366e-03
3.25	3.0	3.5	5.748e-03	2.679e-04	-2.679e-04	6.404e-04	-6.404e-04
3.75	3.5	4.0	1.885e-03	5.764e-05	-5.764e-05	2.187e-04	-2.187e-04
4.25	4.0	4.5	6.468e-04	2.532e-05	-2.532e-05	7.330e-05	-7.330e-05
4.75	4.5	5.0	2.838e-04	1.271e-05	-1.271e-05	3.208e-05	-3.208e-05
5.25	5.0	5.5	1.215e-04	6.697e-06	-6.697e-06	1.400e-05	-1.400e-05
5.75	5.5	6.0	4.668e-05	3.785e-06	-3.785e-06	5.495e-06	-5.495e-06
6.25	6.0	6.5	2.509e-05	2.318e-06	-2.318e-06	2.965e-06	-2.965e-06
6.75	6.5	7.0	1.043e-05	1.477e-06	-1.477e-06	1.308e-06	-1.308e-06
7.25	7.0	7.5	7.087e-06	1.187e-06	-1.187e-06	8.932e-07	-8.932e-07
7.75	7.5	8.0	5.484e-06	9.132e-07	-9.132e-07	6.606e-07	-6.606e-07
8.25	8.0	8.5	3.541e-06	6.102e-07	-6.102e-07	5.993e-07	-5.993e-07
8.75	8.5	9.0	1.675e-06	4.092e-07	-4.092e-07	2.872e-07	-2.872e-07
9.25	9.0	9.5	1.522e-06	3.847e-07	-3.847e-07	2.643e-07	-2.643e-07
9.75	9.5	10.	7.396e-07	2.569e-07	-2.569e-07	1.300e-07	-1.300e-07

centrality	10	20	414.2	20.2
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1.0	1.5	1.857e+00	4.142e-02	-4.142e-02	1.880e-01	-1.880e-01
1.75	1.5	2.0	3.431e-01	7.015e-03	-7.015e-03	3.525e-02	-3.525e-02
2.25	2.0	2.5	7.330e-02	1.741e-03	-1.741e-03	7.629e-03	-7.629e-03
2.75	2.5	3.0	1.729e-02	5.604e-04	-5.604e-04	1.827e-03	-1.827e-03
3.25	3.0	3.5	4.548e-03	1.972e-04	-1.972e-04	4.869e-04	-4.869e-04
3.75	3.5	4.0	1.548e-03	4.256e-05	-4.256e-05	1.710e-04	-1.710e-04
4.25	4.0	4.5	5.564e-04	1.847e-05	-1.847e-05	6.329e-05	-6.329e-05
4.75	4.5	5.0	2.085e-04	1.026e-05	-1.026e-05	2.344e-05	-2.344e-05
5.25	5.0	5.5	9.868e-05	5.234e-06	-5.234e-06	1.130e-05	-1.130e-05
5.75	5.5	6.0	3.695e-05	3.285e-06	-3.285e-06	4.238e-06	-4.238e-06
6.25	6.0	6.5	2.027e-05	2.012e-06	-2.012e-06	2.384e-06	-2.384e-06
6.75	6.5	7.0	1.104e-05	1.602e-06	-1.602e-06	1.322e-06	-1.322e-06
7.25	7.0	7.5	6.646e-06	9.687e-07	-9.687e-07	7.909e-07	-7.909e-07
7.75	7.5	8.0	4.230e-06	8.150e-07	-8.150e-07	5.063e-07	-5.063e-07
8.25	8.0	8.5	2.119e-06	4.684e-07	-4.684e-07	3.587e-07	-3.587e-07
8.75	8.5	9.0	1.983e-06	4.578e-07	-4.578e-07	3.399e-07	-3.399e-07
