centrality	0	10  310.75   32.91
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	1.557483	0.0476546	-0.0476546	0.112257406	-0.112257406
1.75	1.5	2	0.2721961	0.006336102	-0.006336102	0.020530775	-0.020530775
2.25	2	2.5	0.05213248	0.001057716	-0.001057716	0.004150589	-0.004150589
2.75	2.5	3	0.01219638	0.000230075	-0.000230075	0.000970148	-0.000970148
3.25	3	3.5	0.003374237	6.04E-05	-6.04E-05	0.000286849	-0.000286849
3.75	3.5	4	0.001033913	1.80E-05	-1.80E-05	9.42909E-05	-9.42909E-05
4.25	4	4.5	0.000362278	6.19E-06	-6.19E-06	3.30581E-05	-3.30581E-05
4.75	4.5	5	0.000142992	2.40E-06	-2.40E-06	1.30406E-05	-1.30406E-05
5.25	5	5.5	6.67E-05	1.10E-06	-1.10E-06	6.54005E-06	-6.54005E-06
5.75	5.5	6	3.18E-05	5.28E-07	-5.28E-07	3.12498E-06	-3.12498E-06
6.25	6	6.5	1.59E-05	2.77E-07	-2.77E-07	1.55479E-06	-1.55479E-06
6.75	6.5	7	8.47E-06	1.59E-07	-1.59E-07	8.3126E-07	-8.3126E-07
7.25	7	7.5	4.87E-06	9.72E-08	-9.72E-08	4.78462E-07	-4.78462E-07
7.75	7.5	8	2.79E-06	6.12E-08	-6.12E-08	2.73585E-07	-2.73585E-07
8.25	8	8.5	1.75E-06	3.85E-08	-3.85E-08	1.86909E-07	-1.86909E-07
8.75	8.5	9	1.05E-06	2.51E-08	-2.51E-08	1.12673E-07	-1.12673E-07
9.25	9	9.5	6.65E-07	1.80E-08	-1.80E-08	7.0965E-08	-7.0965E-08
9.75	9.5	10	4.68E-07	1.34E-08	-1.34E-08	5.00759E-08	-5.00759E-08
11	10	12	1.76E-07	3.56E-09	-3.56E-09	2.02491E-08	-2.02491E-08
13	12	14	4.94E-08	1.66E-09	-1.66E-09	5.88942E-09	-5.88942E-09
15	14	16	1.67E-08	8.56E-10	-8.56E-10	2.14933E-09	-2.14933E-09
17	16	18	5.99E-09	5.49E-10	-5.49E-10	8.45026E-10	-8.45026E-10
