centrality	0	100 4.0 0.5
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.01409	1.92E-05	-1.92E-05	0.001268	-0.001268
1.75	1.5	2	0.002306	4.27E-06	-4.27E-06	0.0002145	-0.0002145
2.25	2	2.5	0.0005353	1.54E-06	-1.54E-06	5.03E-05	-5.03E-05
2.75	2.5	3	0.000145	6.61E-07	-6.61E-07	1.38E-05	-1.38E-05
3.25	3	3.5	4.49E-05	3.20E-07	-3.20E-07	4.31E-06	-4.31E-06
3.75	3.5	4	1.52E-05	1.68E-07	-1.68E-07	1.46E-06	-1.46E-06
4.25	4	4.5	5.60E-06	9.15E-08	-9.15E-08	5.43E-07	-5.43E-07
4.75	4.5	5	2.28E-06	5.63E-08	-5.63E-08	2.21E-07	-2.21E-07
5.25	5	5.5	1.00E-06	3.50E-08	-3.50E-08	9.82E-08	-9.82E-08
5.75	5.5	6	4.76E-07	1.65E-09	-1.65E-09	4.66E-08	-4.66E-08
6.25	6	6.5	2.45E-07	1.13E-09	-1.13E-09	2.42E-08	-2.42E-08
6.75	6.5	7	1.29E-07	7.83E-10	-7.83E-10	1.27E-08	-1.27E-08
7.25	7	7.5	7.29E-08	5.61E-10	-5.61E-10	7.22E-09	-7.22E-09
7.75	7.5	8	4.24E-08	4.09E-10	-4.09E-10	4.20E-09	-4.20E-09
8.25	8	8.5	2.53E-08	3.03E-10	-3.03E-10	2.50E-09	-2.50E-09
8.75	8.5	9	1.55E-08	2.21E-10	-2.21E-10	1.53E-09	-1.53E-09
9.25	9	9.5	9.76E-09	1.70E-10	-1.70E-10	9.66E-10	-9.66E-10
9.75	9.5	10	6.27E-09	1.37E-10	-1.37E-10	6.21E-10	-6.21E-10
11	10	12	2.48E-09	3.82E-11	-3.82E-11	2.45E-10	-2.45E-10
13	12	14	6.46E-10	1.29E-11	-1.29E-11	6.64E-11	-6.64E-11
15	14	16	1.87E-10	7.27E-12	-7.27E-12	2.13E-11	-2.13E-11
17	16	18	6.04E-11	4.64E-12	-4.64E-12	7.46E-12	-7.46E-12
19	18	20	2.10E-11	3.06E-12	-3.06E-12	2.84E-12	-2.84E-12
21	20	22	7.66E-12	3.11E-12	-3.11E-12	1.09E-12	-1.09E-12
23.5	22	25	0	0	0	0	0
							
centrality	0	5   5.5 0.8
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.02848	1.97E-05	-1.97E-05	0.002563	-0.002563
1.75	1.5	2	0.004769	4.22E-06	-4.22E-06	0.0004561	-0.0004561
2.25	2	2.5	0.001116	1.49E-06	-1.49E-06	0.0001078	-0.0001078
2.75	2.5	3	0.0003023	6.33E-07	-6.33E-07	2.95E-05	-2.95E-05
3.25	3	3.5	9.21E-05	3.01E-07	-3.01E-07	9.08E-06	-9.08E-06
3.75	3.5	4	3.10E-05	1.57E-07	-1.57E-07	3.06E-06	-3.06E-06
4.25	4	4.5	1.15E-05	8.78E-08	-8.78E-08	1.14E-06	-1.14E-06
4.75	4.5	5	4.53E-06	5.13E-08	-5.13E-08	4.51E-07	-4.51E-07
5.25	5	5.5	2.04E-06	3.22E-08	-3.22E-08	2.05E-07	-2.05E-07
5.75	5.5	6	8.90E-07	2.02E-08	-2.02E-08	8.94E-08	-8.94E-08
6.25	6	6.5	4.48E-07	1.38E-08	-1.38E-08	4.55E-08	-4.55E-08
6.75	6.5	7	2.19E-07	9.36E-09	-9.36E-09	2.22E-08	-2.22E-08
7.25	7	7.5	1.24E-07	6.61E-09	-6.61E-09	1.26E-08	-1.26E-08
7.75	7.5	8	7.03E-08	4.70E-09	-4.70E-09	7.13E-09	-7.13E-09
