centrality	0	100	2.38	0.09
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.22	1	1.5	0.008880952	1.42E-04	-1.42E-04	6.48E-04	-6.48E-04
1.72	1.5	2	0.001440476	2.59E-05	-2.59E-05	1.02E-04	-1.02E-04
2.22	2	2.5	0.000290476	7.26E-06	-7.26E-06	2.06E-05	-2.06E-05
2.73	2.5	3	7.88095E-05	2.84E-06	-2.84E-06	5.67E-06	-5.67E-06
3.23	3	3.5	2.37619E-05	1.35E-06	-1.35E-06	1.73E-06	-1.73E-06
3.73	3.5	4	8.07143E-06	5.89E-07	-5.89E-07	6.22E-07	-6.22E-07
4.23	4	4.5	2.83333E-06	6.80E-08	-6.80E-08	2.35E-07	-2.35E-07
4.73	4.5	5	1.13E-06	4.73E-08	-4.73E-08	9.57E-08	-9.57E-08
5.23	5	5.5	5.26E-07	2.63E-08	-2.63E-08	4.58E-08	-4.58E-08
5.74	5.5	6	2.64E-07	1.19E-08	-1.19E-08	2.43E-08	-2.43E-08
6.24	6	6.5	1.19E-07	7.50E-09	-7.50E-09	1.13E-08	-1.13E-08
6.74	6.5	7	7.14E-08	5.50E-09	-5.50E-09	7.00E-09	-7.00E-09
7.45	7	8	2.57E-08	2.26E-09	-2.26E-09	2.60E-09	-2.60E-09
8.46	8	9	1.15E-08	1.39E-09	-1.39E-09	1.25E-09	-1.25E-09
9.46	9	10	3.90E-09	7.54E-10	-7.54E-10	4.30E-10	-4.30E-10
10.86	10	12	1.21E-09	2.69E-10	-2.69E-10	1.41E-10	-1.41E-10
13.25	12	15	2.32E-10	9.60E-11	-9.60E-11	3.63E-11	-3.63E-11
