centrality	0	5					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
4.25	4	4.5	0.000117	1.61E-06	-1.61E-06	1.34E-05	-1.34E-05
4.75	4.5	5	5.84E-05	9.81E-07	-9.81E-07	6.49E-06	-6.49E-06
5.25	5	5.5	2.89E-05	6.23E-07	-6.23E-07	3.04E-06	-3.04E-06
5.75	5.5	6	1.61E-05	4.17E-07	-4.17E-07	1.58E-06	-1.58E-06
6.25	6	6.5	1.01E-05	2.95E-07	-2.95E-07	9.37E-07	-9.37E-07
6.75	6.5	7	6.17E-06	2.10E-07	-2.10E-07	5.45E-07	-5.45E-07
7.25	7	7.5	3.81E-06	1.49E-07	-1.49E-07	3.30E-07	-3.30E-07
7.75	7.5	8	2.57E-06	1.14E-07	-1.14E-07	2.19E-07	-2.19E-07
8.25	8	8.5	1.69E-06	8.43E-08	-8.43E-08	1.41E-07	-1.41E-07
8.75	8.5	9	1.22E-06	6.77E-08	-6.77E-08	1.00E-07	-1.00E-07
9.25	9	9.5	7.48E-07	4.80E-08	-4.80E-08	6.21E-08	-6.21E-08
9.75	9.5	10	5.58E-07	3.96E-08	-3.96E-08	4.63E-08	-4.63E-08
11	10	12	2.50E-07	1.49E-08	-1.49E-08	2.03E-08	-2.03E-08
13	12	14	7.61E-08	7.67E-09	-7.67E-09	6.14E-09	-6.14E-09
15	14	16	2.26E-08	3.25E-09	-3.25E-09	1.96E-09	-1.96E-09
17	16	18	1.32E-08	2.97E-09	-2.97E-09	1.18E-09	-1.18E-09
19	18	20	1.41E-09	1.01E-09	-1.01E-09	2.29E-10	-2.29E-10
21	20	22	0	0	0	0	0
							
centrality	5	10					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
4.25	4	4.5	7.67E-05	1.49E-06	-1.49E-06	9.79E-06	-9.79E-06
4.75	4.5	5	3.89E-05	8.82E-07	-8.82E-07	4.66E-06	-4.66E-06
5.25	5	5.5	2.09E-05	5.55E-07	-5.55E-07	2.36E-06	-2.36E-06
5.75	5.5	6	1.17E-05	3.61E-07	-3.61E-07	1.24E-06	-1.24E-06
6.25	6	6.5	7.10E-06	2.47E-07	-2.47E-07	7.10E-07	-7.10E-07
