centrality	0	5	601.8	28.4			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	7.880279	0.962818	-0.962818	0.86683069	-0.86683069
0.65	0.6	0.7	6.339887	0.675603	-0.675603	0.69738757	-0.69738757
0.75	0.7	0.8	4.366022	0.499065	-0.499065	0.48026242	-0.48026242
0.85	0.8	0.9	3.868814	0.440195	-0.440195	0.42556954	-0.42556954
1	0.9	1.1	3.142257	0.244346	-0.244346	0.34564827	-0.34564827
1.2	1.1	1.3	2.002548	0.168224	-0.168224	0.22028028	-0.22028028
1.4	1.3	1.5	1.118864	0.115497	-0.115497	0.12307504	-0.12307504
1.6	1.5	1.7	0.541775	0.07367	-0.07367	0.05959525	-0.05959525
1.8	1.7	1.9	0.335851	0.053768	-0.053768	0.03694361	-0.03694361
2	1.9	2.1	0.204428	0.037861	-0.037861	0.02248708	-0.02248708
2.2	2.1	2.3	0.129057	0.029574	-0.029574	0.01419627	-0.01419627
2.425	2.3	2.55	0.061931	0.016932	-0.016932	0.00681241	-0.00681241
2.675	2.55	2.8	0.013691	0.007923	-0.007923	0.00150601	-0.00150601
2.925	2.8	3.05	0.016931	0.007048	-0.007048	0.00186241	-0.00186241
3.175	3.05	3.3	0.012562	0.006353	-0.006353	0.00138182	-0.00138182
3.425	3.3	3.55	0.004101	0.002908	-0.002908	0.00045111	-0.00045111
3.675	3.55	3.8	0.002584	0.002588	-0.002588	0.00028424	-0.00028424
							
centrality	15	30	272.9	22.9			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0	0	3.980795	0.380126	-0.380126	0.43788745	-0.43788745
0.65	0	0	2.665342	0.242032	-0.242032	0.29318762	-0.29318762
0.75	0	0	2.242063	0.202983	-0.202983	0.24662693	-0.24662693
0.85	0	0	1.930207	0.174142	-0.174142	0.21232277	-0.21232277
1	0	0	1.369577	0.090722	-0.090722	0.15065347	-0.15065347
1.2	0	0	0.823462	0.05965	-0.05965	0.09058082	-0.09058082
1.4	0	0	0.455696	0.04031	-0.04031	0.05012656	-0.05012656
1.6	0	0	0.247961	0.027303	-0.027303	0.02727571	-0.02727571
1.8	0	0	0.157787	0.020028	-0.020028	0.01735657	-0.01735657
2	0	0	0.095474	0.014288	-0.014288	0.01050214	-0.01050214
2.2	0	0	0.049824	0.009662	-0.009662	0.00548064	-0.00548064
2.425	0	0	0.016738	0.004706	-0.004706	0.00184118	-0.00184118
2.675	0	0	0.009749	0.003285	-0.003285	0.00107239	-0.00107239
2.925	0	0	0.005559	0.002291	-0.002291	0.00061149	-0.00061149
3.175	0	0	0.002988	0.001503	-0.001503	0.00032868	-0.00032868
3.425	0	0	0.002032	0.001186	-0.001186	0.00022352	-0.00022352
							
centrality	60	92	0	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.545301	0	0	0.263399	0.057081	-0.057081	0.02897389	-0.02897389
0.695301	0	0	0.137183	0.0219668	-0.0219668	0.01509013	-0.01509013
0.895301	0	0	0.0968198	0.0155249	-0.0155249	0.010650178	-0.010650178
1.18121	0	0	0.0311007	0.00472621	-0.00472621	0.003421077	-0.003421077
1.58121	0	0	0.00472549	0.00158047	-0.00158047	0.000519804	-0.000519804
1.98121	0	0	0.00271772	0.00103084	-0.00103084	0.000298949	-0.000298949
2.40771	0	0	0.00096525	0.000570509	-0.000570509	0.000106178	-0.000106178
2.90771	0	0	0.00060823	0.000352427	-0.000352427	6.69053E-05	-6.69053E-05
