centrality	0	10  623.9   32.2
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
5.25	5	5.5	8.97E-05	5.63E-07	-5.63E-07	7.88E-06	-7.88E-06
5.75	5.5	6	4.31E-05	3.40E-07	-3.40E-07	3.79E-06	-3.79E-06
6.25	6	6.5	2.19E-05	2.16E-07	-2.16E-07	1.93E-06	-1.93E-06
6.75	6.5	7	1.19E-05	1.44E-07	-1.44E-07	1.05E-06	-1.05E-06
7.25	7	7.5	6.74E-06	1.00E-07	-1.00E-07	5.92E-07	-5.92E-07
7.75	7.5	8	4.06E-06	7.25E-08	-7.25E-08	3.57E-07	-3.57E-07
8.25	8	8.5	2.46E-06	5.29E-08	-5.29E-08	1.84E-07	-1.84E-07
8.75	8.5	9	1.55E-06	3.98E-08	-3.98E-08	1.16E-07	-1.16E-07
9.25	9	9.5	1.08E-06	3.12E-08	-3.12E-08	8.21E-08	-8.21E-08
9.75	9.5	10	6.80E-07	2.36E-08	-2.36E-08	5.49E-08	-5.49E-08
11	10	12	2.77E-07	6.66E-09	-6.66E-09	3.03E-08	-3.03E-08
13	12	14	7.65E-08	3.29E-09	-3.29E-09	1.35E-08	-1.35E-08
15	14	16	2.60E-08	2.04E-09	-2.04E-09	6.54E-09	-6.54E-09
17	16	18	1.03E-08	1.43E-09	-1.43E-09	3.39E-09	-3.39E-09
19	18	20	3.19E-09	1.01E-09	-1.01E-09	1.30E-09	-1.30E-09
							
centrality	10	20  414.2   20.2
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
5.25	5	5.5	8.05E-05	4.61E-07	-4.61E-07	7.08E-06	-7.08E-06
5.75	5.5	6	3.81E-05	2.82E-07	-2.82E-07	3.34E-06	-3.34E-06
6.25	6	6.5	1.88E-05	1.81E-07	-1.81E-07	1.65E-06	-1.65E-06
6.75	6.5	7	1.03E-05	1.23E-07	-1.23E-07	9.06E-07	-9.06E-07
7.25	7	7.5	5.92E-06	8.68E-08	-8.68E-08	5.21E-07	-5.21E-07
7.75	7.5	8	3.47E-06	6.25E-08	-6.25E-08	3.05E-07	-3.05E-07
8.25	8	8.5	2.16E-06	4.67E-08	-4.67E-08	1.62E-07	-1.62E-07
8.75	8.5	9	1.34E-06	3.46E-08	-3.46E-08	1.01E-07	-1.01E-07
9.25	9	9.5	8.84E-07	2.70E-08	-2.70E-08	6.69E-08	-6.69E-08
9.75	9.5	10	5.84E-07	2.11E-08	-2.11E-08	4.72E-08	-4.72E-08
11	10	12	2.30E-07	5.88E-09	-5.88E-09	2.52E-08	-2.52E-08
13	12	14	6.14E-08	2.90E-09	-2.90E-09	1.09E-08	-1.09E-08
15	14	16	1.97E-08	1.73E-09	-1.73E-09	4.96E-09	-4.96E-09
17	16	18	6.95E-09	1.25E-09	-1.25E-09	2.29E-09	-2.29E-09
19	18	20	2.49E-09	8.80E-10	-8.80E-10	1.01E-09	-1.01E-09
							
centrality	20	30  274 14.8
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
