centrality	0	5	535	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.325	0.3	0.35	25.7657	0	0	2.57657	-2.57657
0.375	0.35	0.4	23.8284	0	0	2.38284	-2.38284
0.425	0.4	0.45	21.5969	0	0	2.15969	-2.15969
0.475	0.45	0.5	19.791	0	0	1.97911	-1.97911
0.525	0.5	0.55	18.104	0	0	1.81041	-1.81041
0.575	0.55	0.6	15.8191	0	0	1.58192	-1.58192
0.625	0.6	0.65	14.3408	0	0	1.43408	-1.43408
0.675	0.65	0.7	12.5143	0	0	1.25143	-1.25143
0.725	0.7	0.75	10.8848	0	0	1.08849	-1.08849
0.775	0.75	0.8	9.40421	0	0	0.940423	-0.940423
0.45	0.4	0.5	20.3315	0	0	2.03469	-2.03469
0.55	0.5	0.6	16.3353	0	0	1.63463	-1.63463
0.65	0.6	0.7	12.7182	0	0	1.27267	-1.27267
0.75	0.7	0.8	9.61168	0	0	0.96187	-0.96187
0.85	0.8	0.9	7.01403	0	0	0.702006	-0.702006
0.95	0.9	1	5.04176	0	0	0.504707	-0.504707
1.05	1	1.1	3.81715	0	0	0.382198	-0.382198
1.15	1.1	1.2	2.78146	0	0	0.278585	-0.278585
1.25	1.2	1.3	2.01203	0	0	0.201613	-0.201613
1.35	1.3	1.4	1.43428	0	0	0.143812	-0.143812
1.45	1.4	1.5	1.06981	0	0	0.107342	-0.107342
1.55	1.5	1.6	0.739086	0	0	0.0742602	-0.0742602
1.65	1.6	1.7	0.544673	0	0	0.0548086	-0.0548086
1.75	1.7	1.8	0.393186	0	0	0.0396547	-0.0396547
1.85	1.8	1.9	0.297531	0	0	0.0300821	-0.0300821
1.95	1.9	2	0.198565	0	0	0.020192	-0.020192
							
centrality	5	10	466	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.325	0.3	0.35	23.2306	0	0	2.32312	-2.32312
0.375	0.35	0.4	21.2491	0	0	2.12495	-2.12495
0.425	0.4	0.45	19.456	0	0	1.94564	-1.94564
0.475	0.45	0.5	17.4341	0	0	1.74344	-1.74344
0.525	0.5	0.55	15.2257	0	0	1.52262	-1.52262
0.575	0.55	0.6	13.3566	0	0	1.33633	-1.33633
0.625	0.6	0.65	11.7538	0	0	1.17541	-1.17541
0.675	0.65	0.7	10.3864	0	0	1.03866	-1.03866
0.725	0.7	0.75	9.08222	0	0	0.908426	-0.908426
0.775	0.75	0.8	7.70739	0	0	0.770822	-0.770822
0.45	0.4	0.5	17.5559	0	0	1.75753	-1.75753
0.55	0.5	0.6	13.9135	0	0	1.39275	-1.39275
0.65	0.6	0.7	10.8249	0	0	1.08359	-1.08359
0.75	0.7	0.8	8.15655	0	0	0.816558	-0.816558
0.85	0.8	0.9	5.8306	0	0	0.583828	-0.583828
0.95	0.9	1	4.21216	0	0	0.421885	-0.421885
1.05	1	1.1	3.17629	0	0	0.31823	-0.31823
1.15	1.1	1.2	2.27645	0	0	0.22819	-0.22819
1.25	1.2	1.3	1.64811	0	0	0.165319	-0.165319
1.35	1.3	1.4	1.21849	0	0	0.12232	-0.12232
1.45	1.4	1.5	0.873859	0	0	0.0878303	-0.0878303
1.55	1.5	1.6	0.617492	0	0	0.0621698	-0.0621698
1.65	1.6	1.7	0.4523	0	0	0.0456328	-0.0456328
1.75	1.7	1.8	0.318431	0	0	0.0322359	-0.0322359
