centrality	0	10  176.4   18.0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.00247058	2.04E-05	-2.04E-05	0.000642352	-0.000642352
3.375	3.25	3.5	0.00127502	1.38E-05	-1.38E-05	0.000331505	-0.000331505
3.625	3.5	3.75	0.000672437	9.51E-06	-9.51E-06	0.000174834	-0.000174834
3.875	3.75	4	0.000358488	6.68E-06	-6.68E-06	9.32E-05	-9.32E-05
4.25	4	4.5	0.00015501	2.93E-06	-2.93E-06	4.03E-05	-4.03E-05
4.75	4.5	5	5.43E-05	1.63E-06	-1.63E-06	1.41E-05	-1.41E-05
5.25	5	5.5	2.03E-05	9.42E-07	-9.42E-07	5.28E-06	-5.28E-06
5.75	5.5	6	9.65E-06	6.18E-07	-6.18E-07	2.51E-06	-2.51E-06
							
centrality	10	20  121.5   12.4					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.00154181	1.58E-05	-1.58E-05	0.00040087	-0.00040087
3.375	3.25	3.5	0.000782756	1.06E-05	-1.06E-05	0.000203517	-0.000203517
3.625	3.5	3.75	0.000415374	7.32E-06	-7.32E-06	0.000107997	-0.000107997
3.875	3.75	4	0.000224703	5.17E-06	-5.17E-06	5.84E-05	-5.84E-05
4.25	4	4.5	9.99E-05	2.30E-06	-2.30E-06	2.60E-05	-2.60E-05
4.75	4.5	5	3.48E-05	1.28E-06	-1.28E-06	9.05E-06	-9.05E-06
5.25	5	5.5	1.28E-05	7.21E-07	-7.21E-07	3.33E-06	-3.33E-06
5.75	5.5	6	5.58E-06	4.67E-07	-4.67E-07	1.45E-06	-1.45E-06
							
centrality	20	40  69.6    10.1					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.000803187	8.45E-06	-8.45E-06	0.000208829	-0.000208829
3.375	3.25	3.5	0.000413208	5.67E-06	-5.67E-06	0.000107434	-0.000107434
3.625	3.5	3.75	0.000224882	3.98E-06	-3.98E-06	5.85E-05	-5.85E-05
3.875	3.75	4	0.000118702	2.80E-06	-2.80E-06	3.09E-05	-3.09E-05
4.25	4	4.5	5.16E-05	1.23E-06	-1.23E-06	1.34E-05	-1.34E-05
4.75	4.5	5	2.05E-05	7.11E-07	-7.11E-07	5.33E-06	-5.33E-06
5.25	5	5.5	7.57E-06	4.12E-07	-4.12E-07	1.97E-06	-1.97E-06
5.75	5.5	6	3.16E-06	2.50E-07	-2.50E-07	8.21E-07	-8.21E-07
							
centrality	40	60  0   0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.000332686	5.31E-06	-5.31E-06	8.65E-05	-8.65E-05
3.375	3.25	3.5	0.000174074	3.65E-06	-3.65E-06	4.53E-05	-4.53E-05
3.625	3.5	3.75	9.62E-05	2.57E-06	-2.57E-06	2.50E-05	-2.50E-05
3.875	3.75	4	5.22E-05	1.78E-06	-1.78E-06	1.36E-05	-1.36E-05
4.25	4	4.5	2.40E-05	8.22E-07	-8.22E-07	6.25E-06	-6.25E-06
4.75	4.5	5	8.55E-06	4.63E-07	-4.63E-07	2.22E-06	-2.22E-06
5.25	5	5.5	3.40E-06	2.76E-07	-2.76E-07	8.83E-07	-8.83E-07
5.75	5.5	6	1.35E-06	1.64E-07	-1.64E-07	3.51E-07	-3.51E-07
