centrality	0	10  176.4   18.0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.00205628	1.95E-05	-1.95E-05	0.000534633	-0.000534633
3.375	3.25	3.5	0.00103224	1.30E-05	-1.30E-05	0.000268381	-0.000268381
3.625	3.5	3.75	0.000545861	8.97E-06	-8.97E-06	0.000141924	-0.000141924
3.875	3.75	4	0.000280139	6.19E-06	-6.19E-06	7.28E-05	-7.28E-05
4.25	4	4.5	0.000122131	2.72E-06	-2.72E-06	3.18E-05	-3.18E-05
4.75	4.5	5	4.27E-05	1.52E-06	-1.52E-06	1.11E-05	-1.11E-05
5.25	5	5.5	1.41E-05	8.26E-07	-8.26E-07	3.66E-06	-3.66E-06
5.75	5.5	6	6.27E-06	5.25E-07	-5.25E-07	1.63E-06	-1.63E-06
							
centrality	10	20  121.5   12.4					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.00123112	1.50E-05	-1.50E-05	0.000320091	-0.000320091
3.375	3.25	3.5	0.000626678	1.01E-05	-1.01E-05	0.000162936	-0.000162936
3.625	3.5	3.75	0.000336102	6.94E-06	-6.94E-06	8.74E-05	-8.74E-05
3.875	3.75	4	0.00018368	4.94E-06	-4.94E-06	4.78E-05	-4.78E-05
4.25	4	4.5	7.81E-05	2.16E-06	-2.16E-06	2.03E-05	-2.03E-05
4.75	4.5	5	2.41E-05	1.16E-06	-1.16E-06	6.26E-06	-6.26E-06
5.25	5	5.5	9.64E-06	6.56E-07	-6.56E-07	2.51E-06	-2.51E-06
5.75	5.5	6	3.88E-06	4.22E-07	-4.22E-07	1.01E-06	-1.01E-06
							
centrality	20	40  69.6    10.1					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.000638012	8.02E-06	-8.02E-06	0.000165883	-0.000165883
3.375	3.25	3.5	0.000335178	5.43E-06	-5.43E-06	8.71E-05	-8.71E-05
3.625	3.5	3.75	0.000170167	3.72E-06	-3.72E-06	4.42E-05	-4.42E-05
3.875	3.75	4	9.01E-05	2.62E-06	-2.62E-06	2.34E-05	-2.34E-05
4.25	4	4.5	4.10E-05	1.17E-06	-1.17E-06	1.07E-05	-1.07E-05
4.75	4.5	5	1.43E-05	6.50E-07	-6.50E-07	3.72E-06	-3.72E-06
5.25	5	5.5	5.16E-06	3.78E-07	-3.78E-07	1.34E-06	-1.34E-06
5.75	5.5	6	2.36E-06	2.26E-07	-2.26E-07	6.14E-07	-6.14E-07
							
centrality	40	60  0   0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.000268236	5.10E-06	-5.10E-06	6.97E-05	-6.97E-05
3.375	3.25	3.5	0.000129835	3.39E-06	-3.39E-06	3.38E-05	-3.38E-05
3.625	3.5	3.75	7.56E-05	2.42E-06	-2.42E-06	1.97E-05	-1.97E-05
3.875	3.75	4	3.82E-05	1.60E-06	-1.60E-06	9.92E-06	-9.92E-06
4.25	4	4.5	1.76E-05	7.53E-07	-7.53E-07	4.58E-06	-4.58E-06
4.75	4.5	5	6.19E-06	4.25E-07	-4.25E-07	1.61E-06	-1.61E-06
5.25	5	5.5	1.77E-06	2.29E-07	-2.29E-07	4.61E-07	-4.61E-07
5.75	5.5	6	9.73E-07	1.49E-07	-1.49E-07	2.53E-07	-2.53E-07
