centrality	0	5	535	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.525	0.5	0.55	5.18978	0	0	0.622774	-0.622774
0.575	0.55	0.6	4.82422	0	0	0.578907	-0.578907
0.625	0.6	0.65	4.6228	0	0	0.554737	-0.554737
0.675	0.65	0.7	4.33093	0	0	0.519712	-0.519712
0.725	0.7	0.75	4.18005	0	0	0.501606	-0.501606
0.775	0.75	0.8	3.96051	0	0	0.475262	-0.475262
0.825	0.8	0.85	3.77583	0	0	0.453101	-0.453101
0.875	0.85	0.9	3.55755	0	0	0.426906	-0.426906
0.925	0.9	0.95	3.31996	0	0	0.398396	-0.398396
0.975	0.95	1	3.10586	0	0	0.372705	-0.372705
0.55	0.5	0.6	4.97197	0	0	0.59665	-0.59665
0.65	0.6	0.7	4.50762	0	0	0.540925	-0.540925
0.75	0.7	0.8	4.1119	0	0	0.493438	-0.493438
0.85	0.8	0.9	3.67292	0	0	0.440759	-0.440759
0.95	0.9	1	3.21326	0	0	0.385598	-0.385598
1.05	1	1.1	2.75601	0	0	0.330727	-0.330727
1.15	1.1	1.2	2.31717	0	0	0.278067	-0.278067
1.25	1.2	1.3	1.90922	0	0	0.229112	-0.229112
1.35	1.3	1.4	1.53467	0	0	0.184165	-0.184165
1.45	1.4	1.5	1.21537	0	0	0.145849	-0.145849
1.55	1.5	1.6	0.945594	0	0	0.113476	-0.113476
1.65	1.6	1.7	0.726746	0	0	0.0872137	-0.0872137
1.75	1.7	1.8	0.554831	0	0	0.0665837	-0.0665837
1.85	1.8	1.9	0.420477	0	0	0.050461	-0.050461
1.95	1.9	2	0.314965	0	0	0.0377994	-0.0377994
							
centrality	5	10	466	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.525	0.5	0.55	4.60428	0	0	0.552527	-0.552527
0.575	0.55	0.6	4.26302	0	0	0.511574	-0.511574
0.625	0.6	0.65	4.05645	0	0	0.486785	-0.486785
0.675	0.65	0.7	3.86311	0	0	0.463584	-0.463584
0.725	0.7	0.75	3.71304	0	0	0.445575	-0.445575
0.775	0.75	0.8	3.49183	0	0	0.419029	-0.419029
0.825	0.8	0.85	3.26952	0	0	0.392351	-0.392351
0.875	0.85	0.9	3.10156	0	0	0.372195	-0.372195
0.925	0.9	0.95	2.88807	0	0	0.346578	-0.346578
0.975	0.95	1	2.69924	0	0	0.323922	-0.323922
0.55	0.5	0.6	4.44781	0	0	0.533748	-0.533748
0.65	0.6	0.7	3.98973	0	0	0.478776	-0.478776
0.75	0.7	0.8	3.61381	0	0	0.433665	-0.433665
0.85	0.8	0.9	3.19844	0	0	0.38382	-0.38382
0.95	0.9	1	2.77991	0	0	0.333595	-0.333595
1.05	1	1.1	2.36547	0	0	0.283861	-0.283861
1.15	1.1	1.2	1.97824	0	0	0.237393	-0.237393
1.25	1.2	1.3	1.62651	0	0	0.195186	-0.195186
1.35	1.3	1.4	1.30387	0	0	0.156468	-0.156468
1.45	1.4	1.5	1.02835	0	0	0.123405	-0.123405
1.55	1.5	1.6	0.798098	0	0	0.0957752	-0.0957752
1.65	1.6	1.7	0.612635	0	0	0.0735196	-0.0735196
1.75	1.7	1.8	0.467622	0	0	0.0561178	-0.0561178
1.85	1.8	1.9	0.354428	0	0	0.0425343	-0.0425343
1.95	1.9	2	0.267768	0	0	0.0321351	-0.0321351
							
centrality	10	20	368.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.525	0.5	0.55	3.676	0	0	0.441125	-0.441125
0.575	0.55	0.6	3.37905	0	0	0.405491	-0.405491
0.625	0.6	0.65	3.18633	0	0	0.382365	-0.382365
0.675	0.65	0.7	3.01548	0	0	0.361861	-0.361861
0.725	0.7	0.75	2.88378	0	0	0.346057	-0.346057
0.775	0.75	0.8	2.69073	0	0	0.322891	-0.322891
0.825	0.8	0.85	2.51896	0	0	0.302279	-0.302279
0.875	0.85	0.9	2.36731	0	0	0.284081	-0.284081
