centrality	0	10  176.4   18.0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.00342419	2.22E-05	-2.22E-05	0.000445144	-0.000445144
3.375	3.25	3.5	0.00187288	1.55E-05	-1.55E-05	0.000243475	-0.000243475
3.625	3.5	3.75	0.0010894	1.11E-05	-1.11E-05	0.000141622	-0.000141622
3.875	3.75	4	0.000627231	8.06E-06	-8.06E-06	8.15E-05	-8.15E-05
4.25	4	4.5	0.000296243	3.68E-06	-3.68E-06	3.85E-05	-3.85E-05
4.75	4.5	5	0.000121142	2.19E-06	-2.19E-06	1.57E-05	-1.57E-05
5.25	5	5.5	5.16E-05	1.34E-06	-1.34E-06	6.71E-06	-6.71E-06
5.75	5.5	6	2.51E-05	8.93E-07	-8.93E-07	3.26E-06	-3.26E-06
6.5	6	7	9.33E-06	3.55E-07	-3.55E-07	1.21E-06	-1.21E-06
7.5	7	8	2.85E-06	1.80E-07	-1.80E-07	3.70E-07	-3.70E-07
9	8	10	9.32E-07	6.53E-08	-6.53E-08	1.21E-07	-1.21E-07
							
centrality	10	20  121.5   12.4					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.00256737	1.79E-05	-1.79E-05	0.000333759	-0.000333759
3.375	3.25	3.5	0.00141163	1.24E-05	-1.24E-05	0.000183512	-0.000183512
3.625	3.5	3.75	0.000805986	8.93E-06	-8.93E-06	0.000104778	-0.000104778
3.875	3.75	4	0.000468419	6.51E-06	-6.51E-06	6.09E-05	-6.09E-05
4.25	4	4.5	0.000228575	3.03E-06	-3.03E-06	2.97E-05	-2.97E-05
4.75	4.5	5	8.85E-05	1.76E-06	-1.76E-06	1.15E-05	-1.15E-05
5.25	5	5.5	3.97E-05	1.11E-06	-1.11E-06	5.17E-06	-5.17E-06
5.75	5.5	6	1.88E-05	7.26E-07	-7.26E-07	2.44E-06	-2.44E-06
6.5	6	7	7.80E-06	3.05E-07	-3.05E-07	1.01E-06	-1.01E-06
7.5	7	8	2.64E-06	1.62E-07	-1.62E-07	3.43E-07	-3.43E-07
9	8	10	7.05E-07	5.34E-08	-5.34E-08	9.16E-08	-9.16E-08
							
centrality	20	40  69.6    10.1					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.00158102	9.73E-06	-9.73E-06	0.000205533	-0.000205533
3.375	3.25	3.5	0.00087902	6.83E-06	-6.83E-06	0.000114273	-0.000114273
3.625	3.5	3.75	0.000511978	4.96E-06	-4.96E-06	6.66E-05	-6.66E-05
3.875	3.75	4	0.000301661	3.64E-06	-3.64E-06	3.92E-05	-3.92E-05
4.25	4	4.5	0.000148114	1.70E-06	-1.70E-06	1.93E-05	-1.93E-05
4.75	4.5	5	5.82E-05	9.95E-07	-9.95E-07	7.57E-06	-7.57E-06
5.25	5	5.5	2.57E-05	6.21E-07	-6.21E-07	3.34E-06	-3.34E-06
5.75	5.5	6	1.19E-05	4.02E-07	-4.02E-07	1.55E-06	-1.55E-06
6.5	6	7	4.69E-06	1.66E-07	-1.66E-07	6.09E-07	-6.09E-07
7.5	7	8	1.46E-06	8.51E-08	-8.51E-08	1.90E-07	-1.90E-07
9	8	10	3.60E-07	2.70E-08	-2.70E-08	4.68E-08	-4.68E-08
							
centrality	40	60  0   0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
3.125	3	3.25	0.000736446	6.57E-06	-6.57E-06	9.57E-05	-9.57E-05
3.375	3.25	3.5	0.000421741	4.70E-06	-4.70E-06	5.48E-05	-5.48E-05
3.625	3.5	3.75	0.00024325	3.40E-06	-3.40E-06	3.16E-05	-3.16E-05
3.875	3.75	4	0.00014243	2.49E-06	-2.49E-06	1.85E-05	-1.85E-05
4.25	4	4.5	7.18E-05	1.18E-06	-1.18E-06	9.33E-06	-9.33E-06
4.75	4.5	5	2.80E-05	6.90E-07	-6.90E-07	3.64E-06	-3.64E-06
5.25	5	5.5	1.13E-05	4.15E-07	-4.15E-07	1.47E-06	-1.47E-06
5.75	5.5	6	5.94E-06	2.85E-07	-2.85E-07	7.72E-07	-7.72E-07
6.5	6	7	2.15E-06	1.13E-07	-1.13E-07	2.80E-07	-2.80E-07
7.5	7	8	5.93E-07	5.53E-08	-5.53E-08	7.71E-08	-7.71E-08
9	8	10	1.34E-07	1.67E-08	-1.67E-08	1.74E-08	-1.74E-08
