centrality	0	5	535	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.225	0.2	0.25	497.369	0	0	39.7896	-39.7896
0.275	0.25	0.3	393.337	0	0	31.467	-31.467
0.325	0.3	0.35	307.422	0	0	24.5938	-24.5938
0.375	0.35	0.4	239.12	0	0	19.1296	-19.1296
0.425	0.4	0.45	185.636	0	0	14.8509	-14.8509
0.475	0.45	0.5	141.403	0	0	11.3122	-11.3122
0.525	0.5	0.55	109.702	0	0	8.77616	-8.77616
0.575	0.55	0.6	86.8623	0	0	6.94901	-6.94901
0.625	0.6	0.65	69.9365	0	0	5.59494	-5.59494
0.675	0.65	0.7	54.2834	0	0	4.34271	-4.34271
0.725	0.7	0.75	44.4981	0	0	3.55987	-3.55987
0.775	0.75	0.8	35.9369	0	0	2.87507	-2.87507
0.45	0.4	0.5	161.155	0	0	12.8924	-12.8924
0.55	0.5	0.6	99.0142	0	0	7.92116	-7.92116
0.65	0.6	0.7	62.1993	0	0	4.97596	-4.97596
0.75	0.7	0.8	39.8031	0	0	3.18426	-3.18426
0.85	0.8	0.9	25.7642	0	0	2.06115	-2.06115
0.95	0.9	1	16.8688	0	0	1.34951	-1.34951
1.05	1	1.1	11.2004	0	0	0.896041	-0.896041
1.15	1.1	1.2	7.51244	0	0	0.601005	-0.601005
1.25	1.2	1.3	5.07148	0	0	0.405727	-0.405727
1.35	1.3	1.4	3.46903	0	0	0.27753	-0.27753
1.45	1.4	1.5	2.38595	0	0	0.190884	-0.190884
1.55	1.5	1.6	1.65239	0	0	0.132198	-0.132198
1.65	1.6	1.7	1.14985	0	0	0.0919946	-0.0919946
1.75	1.7	1.8	0.809222	0	0	0.064744	-0.064744
1.85	1.8	1.9	0.574222	0	0	0.0459438	-0.0459438
1.95	1.9	2	0.411087	0	0	0.0328927	-0.0328927
							
centrality	5	10	466	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.225	0.2	0.25	421.858	0	0	33.7487	-33.7487
0.275	0.25	0.3	327.455	0	0	26.1964	-26.1964
0.325	0.3	0.35	253.434	0	0	20.2747	-20.2747
0.375	0.35	0.4	195.984	0	0	15.6788	-15.6788
0.425	0.4	0.45	151.525	0	0	12.122	-12.122
0.475	0.45	0.5	115.212	0	0	9.21696	-9.21696
0.525	0.5	0.55	89.9768	0	0	7.19817	-7.19817
0.575	0.55	0.6	70.5441	0	0	5.64355	-5.64355
0.625	0.6	0.65	56.8928	0	0	4.55145	-4.55145
0.675	0.65	0.7	44.5466	0	0	3.56375	-3.56375
0.725	0.7	0.75	35.8365	0	0	2.86695	-2.86695
0.775	0.75	0.8	29.2497	0	0	2.34007	-2.34007
0.45	0.4	0.5	133.857	0	0	10.7085	-10.7085
0.55	0.5	0.6	81.7737	0	0	6.54191	-6.54191
0.65	0.6	0.7	51.2857	0	0	4.10287	-4.10287
0.75	0.7	0.8	32.8317	0	0	2.62655	-2.62655
0.85	0.8	0.9	21.2846	0	0	1.70278	-1.70278
0.95	0.9	1	13.9615	0	0	1.11693	-1.11693
1.05	1	1.1	9.30386	0	0	0.744317	-0.744317
1.15	1.1	1.2	6.26416	0	0	0.50114	-0.50114
1.25	1.2	1.3	4.25624	0	0	0.340506	-0.340506
1.35	1.3	1.4	2.91236	0	0	0.232995	-0.232995
1.45	1.4	1.5	2.01059	0	0	0.160853	-0.160853
1.55	1.5	1.6	1.39833	0	0	0.111872	-0.111872
1.65	1.6	1.7	0.978748	0	0	0.078305	-0.078305
1.75	1.7	1.8	0.691715	0	0	0.0553422	-0.0553422
1.85	1.8	1.9	0.492736	0	0	0.0394236	-0.0394236
1.95	1.9	2	0.353861	0	0	0.0283135	-0.0283135
							
centrality	10	20	368.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.225	0.2	0.25	313.057	0	0	25.0446	-25.0446
0.275	0.25	0.3	241.793	0	0	19.3434	-19.3434
0.325	0.3	0.35	187.823	0	0	15.0259	-15.0259
0.375	0.35	0.4	145.335	0	0	11.6268	-11.6268
0.425	0.4	0.45	112.401	0	0	8.99211	-8.99211
0.475	0.45	0.5	84.8035	0	0	6.78429	-6.78429
0.525	0.5	0.55	66.8162	0	0	5.34531	-5.34531
