centrality	0	5	535	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.225	0.2	0.25	500.345	0	0	40.0277	-40.0277
0.275	0.25	0.3	392.751	0	0	31.4202	-31.4202
0.325	0.3	0.35	305.103	0	0	24.4083	-24.4083
0.375	0.35	0.4	236.093	0	0	18.8874	-18.8874
0.425	0.4	0.45	182.594	0	0	14.6075	-14.6075
0.475	0.45	0.5	138.843	0	0	11.1075	-11.1075
0.525	0.5	0.55	107.508	0	0	8.60069	-8.60069
0.575	0.55	0.6	85.0242	0	0	6.80196	-6.80196
0.625	0.6	0.65	68.3447	0	0	5.4676	-5.4676
0.675	0.65	0.7	53.6511	0	0	4.29212	-4.29212
0.725	0.7	0.75	43.7662	0	0	3.50131	-3.50131
0.775	0.75	0.8	34.9955	0	0	2.79976	-2.79976
0.45	0.4	0.5	158.426	0	0	12.6741	-12.6741
0.55	0.5	0.6	96.897	0	0	7.75178	-7.75178
0.65	0.6	0.7	60.8347	0	0	4.8668	-4.8668
0.75	0.7	0.8	38.9843	0	0	3.11876	-3.11876
0.85	0.8	0.9	25.2649	0	0	2.02121	-2.02121
0.95	0.9	1	16.599	0	0	1.32793	-1.32793
1.05	1	1.1	11.0418	0	0	0.883353	-0.883353
1.15	1.1	1.2	7.41876	0	0	0.59351	-0.59351
1.25	1.2	1.3	5.01901	0	0	0.40153	-0.40153
1.35	1.3	1.4	3.42396	0	0	0.273925	-0.273925
1.45	1.4	1.5	2.3566	0	0	0.188536	-0.188536
1.55	1.5	1.6	1.63391	0	0	0.13072	-0.13072
1.65	1.6	1.7	1.13839	0	0	0.0910781	-0.0910781
1.75	1.7	1.8	0.798017	0	0	0.0638478	-0.0638478
1.85	1.8	1.9	0.563835	0	0	0.045113	-0.045113
1.95	1.9	2	0.403095	0	0	0.0322536	-0.0322536
							
centrality	5	10	466	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.225	0.2	0.25	413.481	0	0	33.0785	-33.0785
0.275	0.25	0.3	324.878	0	0	25.9902	-25.9902
0.325	0.3	0.35	252.788	0	0	20.223	-20.223
0.375	0.35	0.4	195.97	0	0	15.6776	-15.6776
0.425	0.4	0.45	151.602	0	0	12.1282	-12.1282
0.475	0.45	0.5	116.068	0	0	9.28544	-9.28544
0.525	0.5	0.55	89.9779	0	0	7.19825	-7.19825
0.575	0.55	0.6	70.6445	0	0	5.65158	-5.65158
0.625	0.6	0.65	56.8118	0	0	4.54496	-4.54496
0.675	0.65	0.7	44.4211	0	0	3.55371	-3.55371
0.725	0.7	0.75	35.6153	0	0	2.84926	-2.84926
0.775	0.75	0.8	29.2426	0	0	2.33949	-2.33949
0.45	0.4	0.5	133.884	0	0	10.7107	-10.7107
0.55	0.5	0.6	81.6039	0	0	6.52833	-6.52833
0.65	0.6	0.7	51.1206	0	0	4.08966	-4.08966
0.75	0.7	0.8	32.7126	0	0	2.61702	-2.61702
0.85	0.8	0.9	21.1585	0	0	1.69269	-1.69269
0.95	0.9	1	13.8754	0	0	1.11004	-1.11004
1.05	1	1.1	9.21667	0	0	0.737342	-0.737342
1.15	1.1	1.2	6.20444	0	0	0.496363	-0.496363
1.25	1.2	1.3	4.19269	0	0	0.335422	-0.335422
1.35	1.3	1.4	2.8607	0	0	0.228863	-0.228863
1.45	1.4	1.5	1.96809	0	0	0.157453	-0.157453
1.55	1.5	1.6	1.36199	0	0	0.108964	-0.108964
1.65	1.6	1.7	0.949759	0	0	0.0759859	-0.0759859
1.75	1.7	1.8	0.667869	0	0	0.0534345	-0.0534345
1.85	1.8	1.9	0.471832	0	0	0.0377514	-0.0377514
1.95	1.9	2	0.336259	0	0	0.0269054	-0.0269054
							
centrality	10	20	368.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.225	0.2	0.25	313.582	0	0	25.0865	-25.0865
0.275	0.25	0.3	243.856	0	0	19.5085	-19.5085
0.325	0.3	0.35	189.278	0	0	15.1423	-15.1423
0.375	0.35	0.4	146.298	0	0	11.7039	-11.7039
0.425	0.4	0.45	113.026	0	0	9.04212	-9.04212
0.475	0.45	0.5	85.1543	0	0	6.81235	-6.81235
0.525	0.5	0.55	66.9627	0	0	5.35702	-5.35702
0.575	0.55	0.6	52.2714	0	0	4.18172	-4.18172
0.625	0.6	0.65	42.162	0	0	3.37297	-3.37297
0.675	0.65	0.7	33.2775	0	0	2.66221	-2.66221
0.725	0.7	0.75	26.0097	0	0	2.0808	-2.0808
0.775	0.75	0.8	21.9963	0	0	1.75972	-1.75972
0.45	0.4	0.5	100.212	0	0	8.01696	-8.01696
0.55	0.5	0.6	60.8793	0	0	4.87035	-4.87035
0.65	0.6	0.7	38.0365	0	0	3.04292	-3.04292
0.75	0.7	0.8	24.3218	0	0	1.94575	-1.94575
0.85	0.8	0.9	15.7315	0	0	1.25852	-1.25852
0.95	0.9	1	10.3109	0	0	0.824878	-0.824878
1.05	1	1.1	6.86971	0	0	0.54958	-0.54958
1.15	1.1	1.2	4.63515	0	0	0.370815	-0.370815
1.25	1.2	1.3	3.14717	0	0	0.251777	-0.251777
1.35	1.3	1.4	2.15765	0	0	0.172615	-0.172615
1.45	1.4	1.5	1.48922	0	0	0.11914	-0.11914
1.55	1.5	1.6	1.03747	0	0	0.0830003	-0.0830003
