centrality	0	10					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.25	0.2	0.3	16.2276	2.88926	-2.88926	0	0
0.35	0.3	0.4	14.0112	2.37825	-2.37825	0	0
0.45	0.4	0.5	10.2689	1.74467	-1.74467	0	0
0.55	0.5	0.6	7.44585	1.50265	-1.50265	0	0
0.65	0.6	0.7	5.4732	1.10393	-1.10393	0	0
							
centrality	10	30					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.25	0.2	0.3	9.0552	1.56457	-1.56457	0	0
0.35	0.3	0.4	7.16167	1.20565	-1.20565	0	0
0.45	0.4	0.5	5.32367	0.898125	-0.898125	0	0
0.55	0.5	0.6	3.7675	0.678216	-0.678216	0	0
0.65	0.6	0.7	2.87707	0.527419	-0.527419	0	0
							
centrality	30	60					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.25	0.2	0.3	3.45257	0.662053	-0.662053	0	0
0.35	0.3	0.4	2.54918	0.448351	-0.448351	0	0
0.45	0.4	0.5	2.03592	0.354013	-0.354013	0	0
0.55	0.5	0.6	1.48566	0.267765	-0.267765	0	0
0.65	0.6	0.7	1.04067	0.265712	-0.265712	0	0
							
centrality	0	60					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.25	0.2	0.3	7.50254	1.35692	-1.35692	0	0
0.35	0.3	0.4	6.03882	1.03459	-1.03459	0	0
0.45	0.4	0.5	4.53367	0.774481	-0.774481	0	0
0.55	0.5	0.6	3.2597	0.610717	-0.610717	0	0
0.65	0.6	0.7	2.40849	0.514087	-0.514087	0	0
