centrality	0	5	535	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	21.5992	2.16143	-2.16143    0   0
0.55	0.5	0.6	17.3327	1.73435	-1.73435    0   0
0.65	0.6	0.7	13.5451	1.35536	-1.35536    0   0
0.75	0.7	0.8	10.1981	1.02051	-1.02051    0   0
0.85	0.8	0.9	7.43463	0.744058	-0.744058    0   0
0.95	0.9	1	5.42149	0.542672	-0.542672    0   0
1.05	1	1.1	4.07957	0.408428	-0.408428    0   0
1.15	1.1	1.2	2.97621	0.298049	-0.298049    0   0
1.25	1.2	1.3	2.16161	0.216558	-0.216558    0   0
1.35	1.3	1.4	1.54563	0.154934	-0.154934    0   0
1.45	1.4	1.5	1.12883	0.113231	-0.113231    0   0
1.55	1.5	1.6	0.817783	0.0821131	-0.0821131    0   0
1.65	1.6	1.7	0.582875	0.0586108	-0.0586108    0   0
1.75	1.7	1.8	0.429306	0.0432461	-0.0432461    0   0
1.85	1.8	1.9	0.303815	0.0306979	-0.0306979    0   0
1.95	1.9	2	0.219405	0.0222541	-0.0222541    0   0
							
cantrality	5	10	466	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	17.9338	1.79523	-1.79523    0   0
0.55	0.5	0.6	14.4624	1.44758	-1.44758    0   0
0.65	0.6	0.7	11.3901	1.14008	-1.14008    0   0
0.75	0.7	0.8	8.55001	0.855889	-0.855889    0   0
0.85	0.8	0.9	6.2588	0.626639	-0.626639    0   0
0.95	0.9	1	4.55478	0.456141	-0.456141    0   0
1.05	1	1.1	3.4178	0.342377	-0.342377    0   0
1.15	1.1	1.2	2.47244	0.247785	-0.247785    0   0
1.25	1.2	1.3	1.8198	0.182486	-0.182486    0   0
1.35	1.3	1.4	1.28125	0.128599	-0.128599    0   0
1.45	1.4	1.5	0.938021	0.094243	-0.094243    0   0
1.55	1.5	1.6	0.666005	0.0670201	-0.0670201    0   0
1.65	1.6	1.7	0.500131	0.0504133	-0.0504133    0   0
1.75	1.7	1.8	0.342366	0.0346339	-0.0346339    0   0
1.85	1.8	1.9	0.2542	0.0258039	-0.0258039    0   0
1.95	1.9	2	0.182808	0.0186662	-0.0186662    0   0
							
cantrality	10	20	368.5	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	13.7452	1.37505	-1.37505    0   0
0.55	0.5	0.6	10.8811	1.0885	-1.0885    0   0
0.65	0.6	0.7	8.50471	0.850781	-0.850781    0   0
0.75	0.7	0.8	6.38107	0.638364	-0.638364    0   0
0.85	0.8	0.9	4.62447	0.462668	-0.462668    0   0
0.95	0.9	1	3.35987	0.33618	-0.33618    0   0
1.05	1	1.1	2.48727	0.2489	-0.2489    0   0
1.15	1.1	1.2	1.80656	0.180813	-0.180813    0   0
1.25	1.2	1.3	1.31237	0.131383	-0.131383    0   0
1.35	1.3	1.4	0.962394	0.0963766	-0.0963766    0   0
1.45	1.4	1.5	0.699101	0.0700368	-0.0700368    0   0
1.55	1.5	1.6	0.510679	0.0511886	-0.0511886    0   0
1.65	1.6	1.7	0.370327	0.0371472	-0.0371472    0   0
1.75	1.7	1.8	0.266449	0.0267571	-0.0267571    0   0
1.85	1.8	1.9	0.193071	0.0194173	-0.0194173    0   0
1.95	1.9	2	0.139893	0.0141009	-0.0141009    0   0
							
cantrality	20	30	257.5	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	9.77371	0.977857	-0.977857    0   0
0.55	0.5	0.6	7.65892	0.76625	-0.76625    0   0
0.65	0.6	0.7	5.81787	0.582072	-0.582072    0   0
0.75	0.7	0.8	4.29029	0.429265	-0.429265    0   0
0.85	0.8	0.9	3.10559	0.31076	-0.31076    0   0
0.95	0.9	1	2.20959	0.221135	-0.221135    0   0
1.05	1	1.1	1.6189	0.162046	-0.162046    0   0
1.15	1.1	1.2	1.17599	0.11774	-0.11774    0   0
1.25	1.2	1.3	0.858643	0.0859957	-0.0859957    0   0
1.35	1.3	1.4	0.625577	0.0626798	-0.0626798    0   0
1.45	1.4	1.5	0.457138	0.0458272	-0.0458272    0   0
1.55	1.5	1.6	0.325416	0.0326482	-0.0326482    0   0
