centrality	0	10					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.25	0.2	0.3	7.03577	1.40314	-1.40314	0	0
0.35	0.3	0.4	5.07216	0.959103	-0.959103	0	0
0.45	0.4	0.5	3.97984	0.748152	-0.748152	0	0
0.55	0.5	0.6	2.81649	0.563681	-0.563681	0	0
0.65	0.6	0.7	2.17085	0.651182	-0.651182	0	0
							
centrality	10	30					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.25	0.2	0.3	3.8583	0.738605	-0.738605	0	0
0.35	0.3	0.4	3.22463	0.598696	-0.598696	0	0
0.45	0.4	0.5	2.37708	0.424894	-0.424894	0	0
0.55	0.5	0.6	1.69538	0.314992	-0.314992	0	0
0.65	0.6	0.7	1.16597	0.395094	-0.395094	0	0
							
centrality	30	60					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.25	0.2	0.3	1.64537	0.336231	-0.336231	0	0
0.35	0.3	0.4	1.18188	0.220132	-0.220132	0	0
0.45	0.4	0.5	0.873073	0.167751	-0.167751	0	0
0.55	0.5	0.6	0.659617	0.140143	-0.140143	0	0
0.65	0.6	0.7	0.495714	0.216775	-0.216775	0	0
							
centrality	0	60					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.25	0.2	0.3	3.30171	0.655072	-0.655072	0	0
0.35	0.3	0.4	2.53224	0.473538	-0.473538	0	0
0.45	0.4	0.5	1.90719	0.355291	-0.355291	0	0
0.55	0.5	0.6	1.37464	0.274191	-0.274191	0	0
0.65	0.6	0.7	1.00438	0.360278	-0.360278	0	0
