centrality	0	5	535	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	20.3315	2.03469	-2.03469    0   0
0.55	0.5	0.6	16.3353	1.63463	-1.63463    0   0
0.65	0.6	0.7	12.7182	1.27267	-1.27267    0   0
0.75	0.7	0.8	9.61168	0.96187	-0.96187    0   0
0.85	0.8	0.9	7.01403	0.702006	-0.702006    0   0
0.95	0.9	1	5.04176	0.504707	-0.504707    0   0
1.05	1	1.1	3.81715	0.382198	-0.382198    0   0
1.15	1.1	1.2	2.78146	0.278585	-0.278585    0   0
1.25	1.2	1.3	2.01203	0.201613	-0.201613    0   0
1.35	1.3	1.4	1.43428	0.143812	-0.143812    0   0
1.45	1.4	1.5	1.06981	0.107342	-0.107342    0   0
1.55	1.5	1.6	0.739086	0.0742602	-0.0742602    0   0
1.65	1.6	1.7	0.544673	0.0548086	-0.0548086    0   0
1.75	1.7	1.8	0.393186	0.0396547	-0.0396547    0   0
1.85	1.8	1.9	0.297531	0.0300821	-0.0300821    0   0
1.95	1.9	2	0.198565	0.020192	-0.020192    0   0
							
centrality	5	10	466	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	17.5559	1.75753	-1.75753    0   0
0.55	0.5	0.6	13.9135	1.39275	-1.39275    0   0
0.65	0.6	0.7	10.8249	1.08359	-1.08359    0   0
0.75	0.7	0.8	8.15655	0.816558	-0.816558    0   0
0.85	0.8	0.9	5.8306	0.583828	-0.583828    0   0
0.95	0.9	1	4.21216	0.421885	-0.421885    0   0
1.05	1	1.1	3.17629	0.31823	-0.31823    0   0
1.15	1.1	1.2	2.27645	0.22819	-0.22819    0   0
1.25	1.2	1.3	1.64811	0.165319	-0.165319    0   0
1.35	1.3	1.4	1.21849	0.12232	-0.12232    0   0
1.45	1.4	1.5	0.873859	0.0878303	-0.0878303    0   0
1.55	1.5	1.6	0.617492	0.0621698	-0.0621698    0   0
1.65	1.6	1.7	0.4523	0.0456328	-0.0456328    0   0
1.75	1.7	1.8	0.318431	0.0322359	-0.0322359    0   0
1.85	1.8	1.9	0.222605	0.0226587	-0.0226587    0   0
1.95	1.9	2	0.164324	0.016822	-0.016822    0   0
							
centrality	10	20	368.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	13.3028	1.33083	-1.33083    0   0
0.55	0.5	0.6	10.5212	1.05251	-1.05251    0   0
0.65	0.6	0.7	8.06194	0.806509	-0.806509    0   0
0.75	0.7	0.8	5.99952	0.600213	-0.600213    0   0
0.85	0.8	0.9	4.36082	0.436304	-0.436304    0   0
0.95	0.9	1	3.11609	0.311804	-0.311804    0   0
1.05	1	1.1	2.31977	0.232152	-0.232152    0   0
1.15	1.1	1.2	1.70556	0.170715	-0.170715    0   0
1.25	1.2	1.3	1.24095	0.124243	-0.124243    0   0
1.35	1.3	1.4	0.893937	0.0895315	-0.0895315    0   0
1.45	1.4	1.5	0.655128	0.0656414	-0.0656414    0   0
1.55	1.5	1.6	0.468638	0.0469869	-0.0469869    0   0
1.65	1.6	1.7	0.337772	0.0338954	-0.0338954    0   0
1.75	1.7	1.8	0.243394	0.0244537	-0.0244537    0   0
1.85	1.8	1.9	0.178562	0.0179711	-0.0179711    0   0
1.95	1.9	2	0.128057	0.0129202	-0.0129202    0   0
							
centrality	20	30	257.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	9.22026	0.922515	-0.922515    0   0
0.55	0.5	0.6	7.14456	0.714812	-0.714812    0   0
0.65	0.6	0.7	5.40418	0.5407	-0.5407    0   0
0.75	0.7	0.8	3.9879	0.399024	-0.399024    0   0
0.85	0.8	0.9	2.88592	0.288792	-0.288792    0   0
0.95	0.9	1	2.06069	0.206244	-0.206244    0   0
1.05	1	1.1	1.51371	0.151527	-0.151527    0   0
1.15	1.1	1.2	1.09094	0.109236	-0.109236    0   0
1.25	1.2	1.3	0.806229	0.0807553	-0.0807553    0   0
1.35	1.3	1.4	0.582738	0.0583971	-0.0583971    0   0
1.45	1.4	1.5	0.422765	0.0423921	-0.0423921    0   0
1.55	1.5	1.6	0.311467	0.031256	-0.031256    0   0
1.65	1.6	1.7	0.220568	0.022162	-0.022162    0   0
1.75	1.7	1.8	0.160347	0.0161368	-0.0161368    0   0
1.85	1.8	1.9	0.116352	0.011735	-0.011735    0   0
1.95	1.9	2	0.0847071	0.00857071	-0.00857071    0   0
							
centrality	30	40	169.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	6.24624	0.62504	-0.62504    0   0
0.55	0.5	0.6	4.69357	0.469659	-0.469659    0   0
0.65	0.6	0.7	3.52889	0.353128	-0.353128    0   0
0.75	0.7	0.8	2.56537	0.256735	-0.256735    0   0
0.85	0.8	0.9	1.82591	0.18276	-0.18276    0   0
0.95	0.9	1	1.28037	0.128184	-0.128184    0   0
1.05	1	1.1	0.92855	0.0929866	-0.0929866    0   0
1.15	1.1	1.2	0.67727	0.0678463	-0.0678463    0   0
1.25	1.2	1.3	0.486702	0.0487816	-0.0487816    0   0
1.35	1.3	1.4	0.35244	0.035348	-0.035348    0   0
1.45	1.4	1.5	0.259961	0.0260925	-0.0260925    0   0
1.55	1.5	1.6	0.186628	0.0187551	-0.0187551    0   0
1.65	1.6	1.7	0.134809	0.0135682	-0.0135682    0   0
1.75	1.7	1.8	0.0980992	0.00989566	-0.00989566    0   0
1.85	1.8	1.9	0.0713865	0.00722256	-0.00722256    0   0
1.95	1.9	2	0.0489668	0.00498322	-0.00498322    0   0
							
centrality	40	50	104	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	3.83354	0.38375	-0.38375    0   0
0.55	0.5	0.6	2.88412	0.288699	-0.288699    0   0
0.65	0.6	0.7	2.09664	0.209892	-0.209892    0   0
0.75	0.7	0.8	1.50537	0.150725	-0.150725    0   0
0.85	0.8	0.9	1.04249	0.10441	-0.10441    0   0
0.95	0.9	1	0.733478	0.0734884	-0.0734884    0   0
1.05	1	1.1	0.532494	0.0533748	-0.0533748    0   0
1.15	1.1	1.2	0.375694	0.0376842	-0.0376842    0   0
1.25	1.2	1.3	0.277873	0.0278939	-0.0278939    0   0
1.35	1.3	1.4	0.199234	0.0200225	-0.0200225    0   0
1.45	1.4	1.5	0.143358	0.0144289	-0.0144289    0   0
1.55	1.5	1.6	0.105385	0.0106279	-0.0106279    0   0
1.65	1.6	1.7	0.074126	0.00749719	-0.00749719    0   0
