centrality	0	5	535	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	6.72825	0.807403	-0.807403    0   0
0.65	0.6	0.7	5.87918	0.705512	-0.705512    0   0
0.75	0.7	0.8	5.27233	0.632688	-0.632688    0   0
0.85	0.8	0.9	4.68911	0.5627	-0.5627    0   0
0.95	0.9	1	4.11823	0.494194	-0.494194    0   0
1.05	1	1.1	3.55002	0.426009	-0.426009    0   0
1.15	1.1	1.2	3.01061	0.361279	-0.361279    0   0
1.25	1.2	1.3	2.49948	0.299942	-0.299942    0   0
1.35	1.3	1.4	2.02124	0.242554	-0.242554    0   0
1.45	1.4	1.5	1.61397	0.193681	-0.193681    0   0
1.55	1.5	1.6	1.26492	0.151795	-0.151795    0   0
1.65	1.6	1.7	0.978625	0.117439	-0.117439    0   0
1.75	1.7	1.8	0.752497	0.0903035	-0.0903035    0   0
1.85	1.8	1.9	0.573563	0.0688313	-0.0688313    0   0
1.95	1.9	2	0.434344	0.0521249	-0.0521249    0   0
							
centrality	5	10	466	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	5.91988	0.710396	-0.710396    0   0
0.65	0.6	0.7	5.18511	0.622221	-0.622221    0   0
0.75	0.7	0.8	4.62133	0.554566	-0.554566    0   0
0.85	0.8	0.9	4.07846	0.489421	-0.489421    0   0
0.95	0.9	1	3.54647	0.425582	-0.425582    0   0
1.05	1	1.1	3.03157	0.363793	-0.363793    0   0
1.15	1.1	1.2	2.54936	0.305928	-0.305928    0   0
1.25	1.2	1.3	2.09999	0.252003	-0.252003    0   0
1.35	1.3	1.4	1.69301	0.203165	-0.203165    0   0
1.45	1.4	1.5	1.34231	0.161081	-0.161081    0   0
1.55	1.5	1.6	1.04762	0.125718	-0.125718    0   0
1.65	1.6	1.7	0.807758	0.0969342	-0.0969342    0   0
1.75	1.7	1.8	0.617416	0.074093	-0.074093    0   0
1.85	1.8	1.9	0.469393	0.0563301	-0.0563301    0   0
1.95	1.9	2	0.355362	0.0426462	-0.0426462    0   0
							
centrality	10	20	368.5	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	4.54915	0.545902	-0.545902    0   0
0.65	0.6	0.7	4.00634	0.480764	-0.480764    0   0
0.75	0.7	0.8	3.5592	0.427107	-0.427107    0   0
0.85	0.8	0.9	3.11538	0.373848	-0.373848    0   0
0.95	0.9	1	2.6824	0.321891	-0.321891    0   0
1.05	1	1.1	2.27337	0.272806	-0.272806    0   0
1.15	1.1	1.2	1.893	0.227162	-0.227162    0   0
1.25	1.2	1.3	1.55215	0.186259	-0.186259    0   0
1.35	1.3	1.4	1.24558	0.149471	-0.149471    0   0
1.45	1.4	1.5	0.982046	0.117847	-0.117847    0   0
1.55	1.5	1.6	0.765401	0.0918496	-0.0918496    0   0
