centrality	0	5	535	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	4.97197	0.59665	-0.59665    0   0
0.65	0.6	0.7	4.50762	0.540925	-0.540925   0   0
0.75	0.7	0.8	4.1119	0.493438	-0.493438   0   0
0.85	0.8	0.9	3.67292	0.440759	-0.440759   0   0
0.95	0.9	1	3.21326	0.385598	-0.385598   0   0
1.05	1	1.1	2.75601	0.330727	-0.330727   0   0
1.15	1.1	1.2	2.31717	0.278067	-0.278067   0   0
1.25	1.2	1.3	1.90922	0.229112	-0.229112   0   0
1.35	1.3	1.4	1.53467	0.184165	-0.184165   0   0
1.45	1.4	1.5	1.21537	0.145849	-0.145849   0   0
1.55	1.5	1.6	0.945594	0.113476	-0.113476   0   0
1.65	1.6	1.7	0.726746	0.0872137	-0.0872137  0   0
1.75	1.7	1.8	0.554831	0.0665837	-0.0665837  0   0
1.85	1.8	1.9	0.420477	0.050461	-0.050461   0   0
1.95	1.9	2	0.314965	0.0377994	-0.0377994  0   0
							
centrality	5	10	466	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	4.44781	0.533748	-0.533748   0   0
0.65	0.6	0.7	3.98973	0.478776	-0.478776   0   0
0.75	0.7	0.8	3.61381	0.433665	-0.433665   0   0
0.85	0.8	0.9	3.19844	0.38382	-0.38382    0   0
0.95	0.9	1	2.77991	0.333595	-0.333595   0   0
1.05	1	1.1	2.36547	0.283861	-0.283861   0   0
1.15	1.1	1.2	1.97824	0.237393	-0.237393   0   0
1.25	1.2	1.3	1.62651	0.195186	-0.195186   0   0
1.35	1.3	1.4	1.30387	0.156468	-0.156468   0   0
1.45	1.4	1.5	1.02835	0.123405	-0.123405   0   0
1.55	1.5	1.6	0.798098	0.0957752	-0.0957752  0   0
1.65	1.6	1.7	0.612635	0.0735196	-0.0735196  0   0
1.75	1.7	1.8	0.467622	0.0561178	-0.0561178  0   0
1.85	1.8	1.9	0.354428	0.0425343	-0.0425343  0   0
1.95	1.9	2	0.267768	0.0321351	-0.0321351  0   0
							
centrality	10	20	368.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	3.50538	0.42065	-0.42065    0   0
0.65	0.6	0.7	3.08601	0.370325	-0.370325   0   0
0.75	0.7	0.8	2.7726	0.332715	-0.332715   0   0
0.85	0.8	0.9	2.43158	0.291792	-0.291792   0   0
0.95	0.9	1	2.09864	0.251839	-0.251839   0   0
1.05	1	1.1	1.77488	0.212987	-0.212987   0   0
1.15	1.1	1.2	1.47587	0.177106	-0.177106   0   0
1.25	1.2	1.3	1.20274	0.144331	-0.144331   0   0
1.35	1.3	1.4	0.961409	0.115371	-0.115371   0   0
1.45	1.4	1.5	0.755902	0.0907099	-0.0907099  0   0
1.55	1.5	1.6	0.585976	0.0703186	-0.0703186  0   0
1.65	1.6	1.7	0.449271	0.053914	-0.053914   0   0
1.75	1.7	1.8	0.343019	0.0411636	-0.0411636  0   0
1.85	1.8	1.9	0.259721	0.0311677	-0.0311677  0   0
1.95	1.9	2	0.19617	0.0235416	-0.0235416  0   0
							
centrality	20	30	257.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	2.52601	0.303124	-0.303124   0   0
0.65	0.6	0.7	2.23096	0.267719	-0.267719   0   0
0.75	0.7	0.8	1.98467	0.238163	-0.238163   0   0
0.85	0.8	0.9	1.71834	0.206203	-0.206203   0   0
0.95	0.9	1	1.45305	0.174368	-0.174368   0   0
1.05	1	1.1	1.21128	0.145355	-0.145355   0   0
1.15	1.1	1.2	0.992561	0.119109	-0.119109   0   0
1.25	1.2	1.3	0.797909	0.0957507	-0.0957507  0   0
1.35	1.3	1.4	0.631034	0.0757256	-0.0757256  0   0
1.45	1.4	1.5	0.491265	0.0589532	-0.0589532  0   0
1.55	1.5	1.6	0.376583	0.0451913	-0.0451913  0   0
1.65	1.6	1.7	0.287025	0.0344443	-0.0344443  0   0
1.75	1.7	1.8	0.217238	0.0260697	-0.0260697  0   0
1.85	1.8	1.9	0.163965	0.0196769	-0.0196769  0   0
1.95	1.9	2	0.123698	0.0148448	-0.0148448  0   0
							
centrality	30	40	169.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	1.81942	0.218334	-0.218334   0   0
0.65	0.6	0.7	1.57927	0.189515	-0.189515   0   0
0.75	0.7	0.8	1.37488	0.164988	-0.164988   0   0
0.85	0.8	0.9	1.16421	0.139707	-0.139707   0   0
0.95	0.9	1	0.96364	0.115639	-0.115639   0   0
1.05	1	1.1	0.783681	0.0940435	-0.0940435  0   0
1.15	1.1	1.2	0.628406	0.0754104	-0.0754104  0   0
1.25	1.2	1.3	0.498297	0.0597972	-0.0597972  0   0
1.35	1.3	1.4	0.388771	0.0466539	-0.0466539  0   0
1.45	1.4	1.5	0.299008	0.0358822	-0.0358822  0   0
1.55	1.5	1.6	0.227162	0.0272607	-0.0272607  0   0
1.65	1.6	1.7	0.171012	0.0205226	-0.0205226  0   0
1.75	1.7	1.8	0.129071	0.0154896	-0.0154896  0   0
1.85	1.8	1.9	0.0970388	0.0116457	-0.0116457  0   0
1.95	1.9	2	0.0725415	0.00870595	-0.00870595 0   0
							
centrality	40	50	104	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	1.24999	0.150002	-0.150002   0   0
0.65	0.6	0.7	1.05694	0.126836	-0.126836   0   0
0.75	0.7	0.8	0.896671	0.107603	-0.107603   0   0
0.85	0.8	0.9	0.741617	0.0889961	-0.0889961  0   0
0.95	0.9	1	0.595626	0.071477	-0.071477   0   0
1.05	1	1.1	0.473408	0.0568107	-0.0568107  0   0
1.15	1.1	1.2	0.372466	0.0446975	-0.0446975  0   0
1.25	1.2	1.3	0.290454	0.0348559	-0.0348559  0   0
1.35	1.3	1.4	0.222657	0.0267201	-0.0267201  0   0
1.45	1.4	1.5	0.169406	0.02033	-0.02033    0   0
1.55	1.5	1.6	0.126456	0.0151759	-0.0151759  0   0
1.65	1.6	1.7	0.0946015	0.0113533	-0.0113533  0   0
