centrality	0	5	535	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	158.426	12.6741	-12.6741    0   0
0.55	0.5	0.6	96.897	7.75178	-7.75178    0   0
0.65	0.6	0.7	60.8347	4.8668	-4.8668    0   0
0.75	0.7	0.8	38.9843	3.11876	-3.11876    0   0
0.85	0.8	0.9	25.2649	2.02121	-2.02121    0   0
0.95	0.9	1	16.599	1.32793	-1.32793    0   0
1.05	1	1.1	11.0418	0.883353	-0.883353    0   0
1.15	1.1	1.2	7.41876	0.59351	-0.59351    0   0
1.25	1.2	1.3	5.01901	0.40153	-0.40153    0   0
1.35	1.3	1.4	3.42396	0.273925	-0.273925    0   0
1.45	1.4	1.5	2.3566	0.188536	-0.188536    0   0
1.55	1.5	1.6	1.63391	0.13072	-0.13072    0   0
1.65	1.6	1.7	1.13839	0.0910781	-0.0910781    0   0
1.75	1.7	1.8	0.798017	0.0638478	-0.0638478    0   0
1.85	1.8	1.9	0.563835	0.045113	-0.045113    0   0
1.95	1.9	2	0.403095	0.0322536	-0.0322536    0   0
							
centrality	5	10	466	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	133.884	10.7107	-10.7107    0   0
0.55	0.5	0.6	81.6039	6.52833	-6.52833    0   0
0.65	0.6	0.7	51.1206	4.08966	-4.08966    0   0
0.75	0.7	0.8	32.7126	2.61702	-2.61702    0   0
0.85	0.8	0.9	21.1585	1.69269	-1.69269    0   0
0.95	0.9	1	13.8754	1.11004	-1.11004    0   0
1.05	1	1.1	9.21667	0.737342	-0.737342    0   0
1.15	1.1	1.2	6.20444	0.496363	-0.496363    0   0
1.25	1.2	1.3	4.19269	0.335422	-0.335422    0   0
1.35	1.3	1.4	2.8607	0.228863	-0.228863    0   0
1.45	1.4	1.5	1.96809	0.157453	-0.157453    0   0
1.55	1.5	1.6	1.36199	0.108964	-0.108964    0   0
1.65	1.6	1.7	0.949759	0.0759859	-0.0759859    0   0
1.75	1.7	1.8	0.667869	0.0534345	-0.0534345    0   0
1.85	1.8	1.9	0.471832	0.0377514	-0.0377514    0   0
1.95	1.9	2	0.336259	0.0269054	-0.0269054    0   0
							
centrality	10	20	368.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	100.212	8.01696	-8.01696    0   0
0.55	0.5	0.6	60.8793	4.87035	-4.87035    0   0
0.65	0.6	0.7	38.0365	3.04292	-3.04292    0   0
0.75	0.7	0.8	24.3218	1.94575	-1.94575    0   0
0.85	0.8	0.9	15.7315	1.25852	-1.25852    0   0
0.95	0.9	1	10.3109	0.824878	-0.824878    0   0
1.05	1	1.1	6.86971	0.54958	-0.54958    0   0
1.15	1.1	1.2	4.63515	0.370815	-0.370815    0   0
1.25	1.2	1.3	3.14717	0.251777	-0.251777    0   0
1.35	1.3	1.4	2.15765	0.172615	-0.172615    0   0
1.45	1.4	1.5	1.48922	0.11914	-0.11914    0   0
1.55	1.5	1.6	1.03747	0.0830003	-0.0830003    0   0
1.65	1.6	1.7	0.726003	0.0580824	-0.0580824    0   0
1.75	1.7	1.8	0.511478	0.0409203	-0.0409203    0   0
1.85	1.8	1.9	0.364219	0.0291396	-0.0291396    0   0
1.95	1.9	2	0.260664	0.0208551	-0.0208551    0   0
							
centrality	20	30	257.5	0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	67.3893	5.39115	-5.39115    0   0
0.55	0.5	0.6	40.7546	3.26038	-3.26038    0   0
0.65	0.6	0.7	25.2799	2.02239	-2.02239    0   0
0.75	0.7	0.8	16.1055	1.28845	-1.28845    0   0
0.85	0.8	0.9	10.3893	0.831151	-0.831151    0   0
0.95	0.9	1	6.78166	0.542536	-0.542536    0   0
