centrality	0	5	687.4	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	2	0	0	0.068	-0.068
0.75	0.7	0.8	1.89	0	0	0.062	-0.062
0.85	0.8	0.9	1.67	0	0	0.054	-0.054
0.95	0.9	1	1.47	0	0	0.048	-0.048
1.05	1	1.1	1.21	0	0	0.041	-0.041
1.15	1.1	1.2	1.1	0	0	0.039	-0.039
1.25	1.2	1.3	0.89	0	0	0.033	-0.033
1.35	1.3	1.4	0.724	0	0	0.028	-0.028
1.45	1.4	1.5	0.612	0	0	0.025	-0.025
1.55	1.5	1.6	0.443	0	0	0.019	-0.019
1.65	1.6	1.7	0.346	0	0	0.016	-0.016
1.75	1.7	1.8	0.27	0	0	0.013	-0.013
1.85	1.8	1.9	0.207	0	0	0.011	-0.011
1.95	1.9	2	0.153	0	0	0.0092	-0.0092
2.1	2	2.2	0.0975	0	0	0.0042	-0.0042
2.3	2.2	2.4	0.0599	0	0	0.0031	-0.0031
2.5	2.4	2.6	0.0316	0	0	0.0022	-0.0022
2.7	2.6	2.8	0.0179	0	0	0.0016	-0.0016
2.9	2.8	3	0.0104	0	0	0.0012	-0.0012
3.25	3	3.5	0.00414	0	0	0.00047	-0.00047
3.75	3.5	4	0.00129	0	0	0.00025	-0.00025
4.25	4	4.5	0.000544	0	0	0.00017	-0.00017
							
centrality	5	10	560.4	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	1.73	0	0	0.06	-0.06
0.75	0.7	0.8	1.61	0	0	0.054	-0.054
0.85	0.8	0.9	1.42	0	0	0.047	-0.047
0.95	0.9	1	1.25	0	0	0.042	-0.042
1.05	1	1.1	1.04	0	0	0.036	-0.036
1.15	1.1	1.2	0.928	0	0	0.034	-0.034
1.25	1.2	1.3	0.747	0	0	0.028	-0.028
1.35	1.3	1.4	0.608	0	0	0.024	-0.024
1.45	1.4	1.5	0.501	0	0	0.021	-0.021
1.55	1.5	1.6	0.369	0	0	0.016	-0.016
1.65	1.6	1.7	0.3	0	0	0.014	-0.014
1.75	1.7	1.8	0.217	0	0	0.011	-0.011
1.85	1.8	1.9	0.168	0	0	0.0095	-0.0095
1.95	1.9	2	0.119	0	0	0.0077	-0.0077
2.1	2	2.2	0.0795	0	0	0.0037	-0.0037
2.3	2.2	2.4	0.0459	0	0	0.0027	-0.0027
2.5	2.4	2.6	0.0269	0	0	0.002	-0.002
2.7	2.6	2.8	0.0146	0	0	0.0014	-0.0014
2.9	2.8	3	0.00843	0	0	0.0011	-0.0011
3.25	3	3.5	0.00355	0	0	0.00043	-0.00043
3.75	3.5	4	0.0013	0	0	0.00025	-0.00025
4.25	4	4.5	0.000398	0	0	0.00014	-0.00014
							
centrality	10	15	456.8	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	1.48	0	0	0.052	-0.052
0.75	0.7	0.8	1.34	0	0	0.046	-0.046
0.85	0.8	0.9	1.19	0	0	0.041	-0.041
0.95	0.9	1	1.05	0	0	0.036	-0.036
1.05	1	1.1	0.882	0	0	0.031	-0.031
1.15	1.1	1.2	0.739	0	0	0.028	-0.028
1.25	1.2	1.3	0.615	0	0	0.024	-0.024
1.35	1.3	1.4	0.488	0	0	0.02	-0.02
1.45	1.4	1.5	0.409	0	0	0.018	-0.018
1.55	1.5	1.6	0.304	0	0	0.014	-0.014
1.65	1.6	1.7	0.243	0	0	0.012	-0.012
1.75	1.7	1.8	0.184	0	0	0.0099	-0.0099
1.85	1.8	1.9	0.145	0	0	0.0084	-0.0084
1.95	1.9	2	0.102	0	0	0.0069	-0.0069
2.1	2	2.2	0.0664	0	0	0.0032	-0.0032
2.3	2.2	2.4	0.0387	0	0	0.0024	-0.0024
2.5	2.4	2.6	0.0229	0	0	0.0018	-0.0018
2.7	2.6	2.8	0.0119	0	0	0.0012	-0.0012
2.9	2.8	3	0.00725	0	0	0.00096	-0.00096
3.25	3	3.5	0.00302	0	0	0.00038	-0.00038
3.75	3.5	4	0.00109	0	0	0.00022	-0.00022
4.25	4	4.5	0.000357	0	0	0.00013	-0.00013
							
centrality	15	20	371.5	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	1.25	0	0	0.045	-0.045
0.75	0.7	0.8	1.16	0	0	0.041	-0.041
0.85	0.8	0.9	1.02	0	0	0.035	-0.035
0.95	0.9	1	0.885	0	0	0.031	-0.031
1.05	1	1.1	0.726	0	0	0.026	-0.026
1.15	1.1	1.2	0.643	0	0	0.025	-0.025
1.25	1.2	1.3	0.499	0	0	0.02	-0.02
1.35	1.3	1.4	0.411	0	0	0.018	-0.018
1.45	1.4	1.5	0.34	0	0	0.015	-0.015
1.55	1.5	1.6	0.245	0	0	0.012	-0.012
1.65	1.6	1.7	0.19	0	0	0.01	-0.01
1.75	1.7	1.8	0.145	0	0	0.0084	-0.0084
1.85	1.8	1.9	0.12	0	0	0.0074	-0.0074
1.95	1.9	2	0.0841	0	0	0.006	-0.006
2.1	2	2.2	0.0522	0	0	0.0028	-0.0028
2.3	2.2	2.4	0.0319	0	0	0.0021	-0.0021
2.5	2.4	2.6	0.0183	0	0	0.0015	-0.0015
2.7	2.6	2.8	0.00979	0	0	0.0011	-0.0011
2.9	2.8	3	0.00628	0	0	0.00087	-0.00087
3.25	3	3.5	0.00255	0	0	0.00034	-0.00034
3.75	3.5	4	0.000803	0	0	0.00019	-0.00019
4.25	4	4.5	0.000292	0	0	0.00012	-0.00012
							
centrality	20	30	274	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	0.968	0	0	0.032	-0.032
0.75	0.7	0.8	0.894	0	0	0.029	-0.029
0.85	0.8	0.9	0.783	0	0	0.025	-0.025
0.95	0.9	1	0.661	0	0	0.022	-0.022
1.05	1	1.1	0.525	0	0	0.018	-0.018
1.15	1.1	1.2	0.463	0	0	0.016	-0.016
1.25	1.2	1.3	0.365	0	0	0.014	-0.014
1.35	1.3	1.4	0.288	0	0	0.011	-0.011
1.45	1.4	1.5	0.241	0	0	0.01	-0.01
1.55	1.5	1.6	0.177	0	0	0.0078	-0.0078
1.65	1.6	1.7	0.143	0	0	0.0067	-0.0067
1.75	1.7	1.8	0.102	0	0	0.0052	-0.0052
1.85	1.8	1.9	0.0797	0	0	0.0044	-0.0044
1.95	1.9	2	0.0583	0	0	0.0037	-0.0037
2.1	2	2.2	0.039	0	0	0.0017	-0.0017
2.3	2.2	2.4	0.0224	0	0	0.0012	-0.0012
2.5	2.4	2.6	0.0122	0	0	0.0009	-0.0009
2.7	2.6	2.8	0.00665	0	0	0.00064	-0.00064
2.9	2.8	3	0.00433	0	0	0.00051	-0.00051
3.25	3	3.5	0.00164	0	0	0.0002	-0.0002
3.75	3.5	4	0.000539	0	0	0.00011	-0.00011
4.25	4	4.5	0.000174	0	0	0.000063	-0.000063
							
centrality	30	40	176.8	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	0.698	0	0	0.024	-0.024
0.75	0.7	0.8	0.635	0	0	0.022	-0.022
0.85	0.8	0.9	0.521	0	0	0.018	-0.018
0.95	0.9	1	0.442	0	0	0.015	-0.015
1.05	1	1.1	0.354	0	0	0.013	-0.013
1.15	1.1	1.2	0.299	0	0	0.012	-0.012
1.25	1.2	1.3	0.233	0	0	0.0095	-0.0095
1.35	1.3	1.4	0.18	0	0	0.0078	-0.0078
1.45	1.4	1.5	0.142	0	0	0.0067	-0.0067
1.55	1.5	1.6	0.106	0	0	0.0053	-0.0053
1.65	1.6	1.7	0.0853	0	0	0.0046	-0.0046
1.75	1.7	1.8	0.0632	0	0	0.0038	-0.0038
1.85	1.8	1.9	0.0476	0	0	0.0031	-0.0031
1.95	1.9	2	0.0356	0	0	0.0027	-0.0027
2.1	2	2.2	0.023	0	0	0.0013	-0.0013
2.3	2.2	2.4	0.0134	0	0	0.00092	-0.00092
2.5	2.4	2.6	0.00778	0	0	0.00069	-0.00069
2.7	2.6	2.8	0.00466	0	0	0.00052	-0.00052
2.9	2.8	3	0.00257	0	0	0.00038	-0.00038
3.25	3	3.5	0.00105	0	0	0.00015	-0.00015
3.75	3.5	4	0.000259	0	0	0.000073	-0.000073
4.25	4	4.5	0.000112	0	0	0.000049	-0.000049
							
centrality	40	50	109.4	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	0.451	0	0	0.017	-0.017
0.75	0.7	0.8	0.406	0	0	0.015	-0.015
0.85	0.8	0.9	0.337	0	0	0.013	-0.013
0.95	0.9	1	0.27	0	0	0.01	-0.01
1.05	1	1.1	0.205	0	0	0.0084	-0.0084
1.15	1.1	1.2	0.179	0	0	0.0077	-0.0077
1.25	1.2	1.3	0.137	0	0	0.0064	-0.0064
1.35	1.3	1.4	0.103	0	0	0.0052	-0.0052
1.45	1.4	1.5	0.084	0	0	0.0046	-0.0046
1.55	1.5	1.6	0.0614	0	0	0.0036	-0.0036
1.65	1.6	1.7	0.045	0	0	0.003	-0.003
1.75	1.7	1.8	0.0349	0	0	0.0026	-0.0026
1.85	1.8	1.9	0.0266	0	0	0.0022	-0.0022
1.95	1.9	2	0.0184	0	0	0.0018	-0.0018
2.1	2	2.2	0.0127	0	0	0.00088	-0.00088
2.3	2.2	2.4	0.00739	0	0	0.00066	-0.00066
2.5	2.4	2.6	0.00411	0	0	0.00048	-0.00048
2.7	2.6	2.8	0.0023	0	0	0.00035	-0.00035
2.9	2.8	3	0.00167	0	0	0.0003	-0.0003
3.25	3	3.5	0.000544	0	0	0.00011	-0.00011
3.75	3.5	4	0.000175	0	0	0.000059	-0.000059
4.25	4	4.5	0.0000556	0	0	0.000035	-0.000035
							
centrality	50	60	61.6	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	0.284	0	0	0.012	-0.012
0.75	0.7	0.8	0.25	0	0	0.011	-0.011
0.85	0.8	0.9	0.189	0	0	0.0083	-0.0083
0.95	0.9	1	0.158	0	0	0.0071	-0.0071
1.05	1	1.1	0.119	0	0	0.0058	-0.0058
1.15	1.1	1.2	0.096	0	0	0.0051	-0.0051
1.25	1.2	1.3	0.0711	0	0	0.0041	-0.0041
1.35	1.3	1.4	0.0531	0	0	0.0034	-0.0034
1.45	1.4	1.5	0.0443	0	0	0.0031	-0.0031
1.55	1.5	1.6	0.0313	0	0	0.0024	-0.0024
1.65	1.6	1.7	0.0239	0	0	0.0021	-0.0021
1.75	1.7	1.8	0.0179	0	0	0.0017	-0.0017
1.85	1.8	1.9	0.0128	0	0	0.0014	-0.0014
1.95	1.9	2	0.01	0	0	0.0013	-0.0013
2.1	2	2.2	0.00603	0	0	0.00059	-0.00059
2.3	2.2	2.4	0.00346	0	0	0.00044	-0.00044
2.5	2.4	2.6	0.00204	0	0	0.00034	-0.00034
2.7	2.6	2.8	0.0012	0	0	0.00025	-0.00025
2.9	2.8	3	0.000621	0	0	0.00018	-0.00018
3.25	3	3.5	0.000261	0	0	0.000073	-0.000073
3.75	3.5	4	0.0000652	0	0	0.000036	-0.000036
4.25	4	4.5	0.0000482	0	0	0.000032	-0.000032
							
centrality	60	70	32	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	0.158	0	0	0.0081	-0.0081
0.75	0.7	0.8	0.125	0	0	0.0066	-0.0066
0.85	0.8	0.9	0.095	0	0	0.0052	-0.0052
0.95	0.9	1	0.0738	0	0	0.0043	-0.0043
1.05	1	1.1	0.055	0	0	0.0035	-0.0035
1.15	1.1	1.2	0.0434	0	0	0.0031	-0.0031
1.25	1.2	1.3	0.0319	0	0	0.0025	-0.0025
1.35	1.3	1.4	0.024	0	0	0.0021	-0.0021
1.45	1.4	1.5	0.019	0	0	0.0019	-0.0019
1.55	1.5	1.6	0.0128	0	0	0.0014	-0.0014
1.65	1.6	1.7	0.00929	0	0	0.0012	-0.0012
1.75	1.7	1.8	0.00692	0	0	0.001	-0.001
1.85	1.8	1.9	0.00566	0	0	0.00093	-0.00093
1.95	1.9	2	0.00393	0	0	0.00078	-0.00078
2.1	2	2.2	0.00258	0	0	0.00038	-0.00038
2.3	2.2	2.4	0.00137	0	0	0.00027	-0.00027
2.5	2.4	2.6	0.000756	0	0	0.0002	-0.0002
2.7	2.6	2.8	0.000392	0	0	0.00014	-0.00014
2.9	2.8	3	0.000292	0	0	0.00012	-0.00012
3.25	3	3.5	0.00011	0	0	0.000047	-0.000047
3.75	3.5	4	0.0000277	0	0	0.000023	-0.000023
4.25	4	4.5	0.0000123	0	0	0.000016	-0.000016
							
centrality	70	80	16	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	0.0622	0	0	0.0047	-0.0047
0.75	0.7	0.8	0.0543	0	0	0.004	-0.004
0.85	0.8	0.9	0.0416	0	0	0.0033	-0.0033
0.95	0.9	1	0.0313	0	0	0.0027	-0.0027
1.05	1	1.1	0.0212	0	0	0.0021	-0.0021
1.15	1.1	1.2	0.0173	0	0	0.0019	-0.0019
1.25	1.2	1.3	0.0122	0	0	0.0015	-0.0015
1.35	1.3	1.4	0.00965	0	0	0.0013	-0.0013
1.45	1.4	1.5	0.00769	0	0	0.0012	-0.0012
1.55	1.5	1.6	0.00443	0	0	0.00085	-0.00085
1.65	1.6	1.7	0.00309	0	0	0.0007	-0.0007
1.75	1.7	1.8	0.00279	0	0	0.00066	-0.00066
1.85	1.8	1.9	0.00127	0	0	0.00044	-0.00044
1.95	1.9	2	0.00154	0	0	0.00049	-0.00049
2.1	2	2.2	0.000691	0	0	0.0002	-0.0002
2.3	2.2	2.4	0.000566	0	0	0.00018	-0.00018
2.5	2.4	2.6	0.000285	0	0	0.00013	-0.00013
2.7	2.6	2.8	0.000226	0	0	0.00011	-0.00011
2.9	2.8	3	0.00014	0	0	0.000088	-0.000088
3.25	3	3.5	0.0000363	0	0	0.000028	-0.000028
3.75	3.5	4	0.00000576	0	0	0.000011	-0.000011
4.25	4	4.5	0.00000271	0	0	0.0000081	-0.0000081
							
centrality	80	92	7	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.65	0.6	0.7	0.0355	0	0	0.0034	-0.0034
0.75	0.7	0.8	0.0277	0	0	0.0028	-0.0028
0.85	0.8	0.9	0.0206	0	0	0.0022	-0.0022
0.95	0.9	1	0.0156	0	0	0.0018	-0.0018
1.05	1	1.1	0.0101	0	0	0.0014	-0.0014
1.15	1.1	1.2	0.00794	0	0	0.0012	-0.0012
1.25	1.2	1.3	0.00605	0	0	0.0011	-0.0011
1.35	1.3	1.4	0.00408	0	0	0.00084	-0.00084
1.45	1.4	1.5	0.00331	0	0	0.00076	-0.00076
1.55	1.5	1.6	0.00202	0	0	0.00056	-0.00056
1.65	1.6	1.7	0.0017	0	0	0.00052	-0.00052
1.75	1.7	1.8	0.00121	0	0	0.00043	-0.00043
1.85	1.8	1.9	0.000733	0	0	0.00033	-0.00033
1.95	1.9	2	0.000792	0	0	0.00035	-0.00035
