centrality	0	20  16.4    1.2					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.0498246	0.000990418	-0.000990418	0.004484214	-0.004484214
0.65	0.6	0.7	0.0539284	0.000889854	-0.000889854	0.004853556	-0.004853556
0.75	0.7	0.8	0.0500848	0.000739266	-0.000739266	0.004507632	-0.004507632
0.85	0.8	0.9	0.0444887	0.000618743	-0.000618743	0.004003983	-0.004003983
0.95	0.9	1	0.0360784	0.000482484	-0.000482484	0.003247056	-0.003247056
1.05	1	1.1	0.0292153	0.000386145	-0.000386145	0.002629377	-0.002629377
1.15	1.1	1.2	0.0232872	0.000310162	-0.000310162	0.002095848	-0.002095848
1.25	1.2	1.3	0.0177635	0.000237458	-0.000237458	0.001598715	-0.001598715
1.35	1.3	1.4	0.0138865	0.000186738	-0.000186738	0.001249785	-0.001249785
1.45	1.4	1.5	0.0106775	0.000144685	-0.000144685	0.000960975	-0.000960975
1.55	1.5	1.6	0.00825535	0.000114131	-0.000114131	0.000742982	-0.000742982
1.65	1.6	1.7	0.00617735	8.71E-05	-8.71E-05	0.000555962	-0.000555962
1.75	1.7	1.8	0.00473017	6.84E-05	-6.84E-05	0.000425715	-0.000425715
1.85	1.8	1.9	0.00360719	5.45E-05	-5.45E-05	0.000324647	-0.000324647
1.95	1.9	2	0.00265996	4.19E-05	-4.19E-05	0.000239396	-0.000239396
2.1	2	2.2	0.00186811	2.23E-05	-2.23E-05	0.00016813	-0.00016813
2.3	2.2	2.4	0.00106203	1.45E-05	-1.45E-05	9.56E-05	-9.56E-05
2.5	2.4	2.6	0.000645766	1.02E-05	-1.02E-05	5.81E-05	-5.81E-05
2.7	2.6	2.8	0.000390497	7.18E-06	-7.18E-06	3.51E-05	-3.51E-05
2.9	2.8	3	0.000246345	5.39E-06	-5.39E-06	2.22E-05	-2.22E-05
3.25	3	3.5	0.000103173	1.98E-06	-1.98E-06	1.13E-05	-1.13E-05
3.75	3.5	4	3.46E-05	1.04E-06	-1.04E-06	3.80E-06	-3.80E-06
4.25	4	4.5	1.31E-05	6.28E-07	-6.28E-07	1.44E-06	-1.44E-06
4.75	4.5	5	5.41E-06	4.28E-07	-4.28E-07	5.95E-07	-5.95E-07
							
centrality	0	100 9.5 1.0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.0287267	0.000558349	-0.000558349	0.002585403	-0.002585403
0.65	0.6	0.7	0.0300017	0.000484678	-0.000484678	0.002700153	-0.002700153
0.75	0.7	0.8	0.0273415	0.000394795	-0.000394795	0.002460735	-0.002460735
0.85	0.8	0.9	0.0236132	0.000320839	-0.000320839	0.002125188	-0.002125188
0.95	0.9	1	0.0187925	0.000244815	-0.000244815	0.001691325	-0.001691325
1.05	1	1.1	0.0150487	0.00019307	-0.00019307	0.001354383	-0.001354383
1.15	1.1	1.2	0.0118297	0.000152243	-0.000152243	0.001064673	-0.001064673
1.25	1.2	1.3	0.00891875	0.000114463	-0.000114463	0.000802688	-0.000802688
1.35	1.3	1.4	0.00687331	8.79E-05	-8.79E-05	0.000618598	-0.000618598
1.45	1.4	1.5	0.00521242	6.66E-05	-6.66E-05	0.000469118	-0.000469118
1.55	1.5	1.6	0.00395399	5.10E-05	-5.10E-05	0.000355859	-0.000355859
1.65	1.6	1.7	0.00295994	3.84E-05	-3.84E-05	0.000266395	-0.000266395
1.75	1.7	1.8	0.00224581	2.94E-05	-2.94E-05	0.000202123	-0.000202123
1.85	1.8	1.9	0.00170831	2.30E-05	-2.30E-05	0.000153748	-0.000153748
1.95	1.9	2	0.00125653	1.72E-05	-1.72E-05	0.000113088	-0.000113088
2.1	2	2.2	0.000867672	8.80E-06	-8.80E-06	7.81E-05	-7.81E-05
