centrality	0	10	623.9	32.2					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	2.19928	0.0380575	-0.0380575	0.219928	-0.219928
0.65	0.6	0.7	2.25631	0.0333245	-0.0333245	0.225631	-0.225631
0.75	0.7	0.8	2.18107	0.0300228	-0.0300228	0.218107	-0.218107
0.85	0.8	0.9	1.99479	0.0265539	-0.0265539	0.199479	-0.199479
0.95	0.9	1	1.73881	0.0224013	-0.0224013	0.173881	-0.173881
1.05	1	1.1	1.45815	0.0170949	-0.0170949	0.145815	-0.145815
1.15	1.1	1.2	1.23763	0.0143987	-0.0143987	0.123763	-0.123763
1.25	1.2	1.3	1.01035	0.0116465	-0.0116465	0.101035	-0.101035
1.35	1.3	1.4	0.811927	0.00927667	-0.00927667	0.0811927	-0.0811927
1.45	1.4	1.5	0.663459	0.00762612	-0.00762612	0.0663459	-0.0663459
1.55	1.5	1.6	0.507156	0.00572493	-0.00572493	0.0507156	-0.0507156
1.65	1.6	1.7	0.401734	0.00455384	-0.00455384	0.0401734	-0.0401734
1.75	1.7	1.8	0.308529	0.00347083	-0.00347083	0.0308529	-0.0308529
1.85	1.8	1.9	0.234513	0.00261887	-0.00261887	0.0234513	-0.0234513
1.95	1.9	2	0.182255	0.00203954	-0.00203954	0.0182255	-0.0182255
2.1	2	2.2	0.122141	0.00097577	-0.00097577	0.0122141	-0.0122141
2.3	2.2	2.4	0.0677651	0.000538371	-0.000538371	0.00677651	-0.00677651
2.5	2.4	2.6	0.0390349	0.000312724	-0.000312724	0.00390349	-0.00390349
2.7	2.6	2.8	0.0223602	0.000181705	-0.000181705	0.00223602	-0.00223602
2.9	2.8	3	0.0128756	0.00010716	-0.00010716	0.00128756	-0.00128756
3.25	3	3.5	0.0053312	3.13E-05	-3.13E-05	0.000586432	-0.000586432
3.75	3.5	4	0.00150234	1.05E-05	-1.05E-05	0.000165257	-0.000165257
4.25	4	4.5	0.000475683	4.65E-06	-4.65E-06	5.23E-05	-5.23E-05
4.75	4.5	5	0.000183133	2.76E-06	-2.76E-06	2.01E-05	-2.01E-05
5.25	5	5.5	6.70E-05	3.22E-06	-3.22E-06	9.38E-06	-9.38E-06
5.75	5.5	6	3.38E-05	2.51E-06	-2.51E-06	4.74E-06	-4.74E-06
							
centrality	10	20	414.2	20.2					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	1.45298	0.0256437	-0.0256437	0.145298	-0.145298
0.65	0.6	0.7	1.51737	0.0228246	-0.0228246	0.151737	-0.151737
0.75	0.7	0.8	1.47683	0.0206406	-0.0206406	0.147683	-0.147683
0.85	0.8	0.9	1.34711	0.0182375	-0.0182375	0.134711	-0.134711
0.95	0.9	1	1.16393	0.0152435	-0.0152435	0.116393	-0.116393
1.05	1	1.1	0.98253	0.0115259	-0.0115259	0.098253	-0.098253
1.15	1.1	1.2	0.829944	0.00966099	-0.00966099	0.0829944	-0.0829944
1.25	1.2	1.3	0.679194	0.0078344	-0.0078344	0.0679194	-0.0679194
1.35	1.3	1.4	0.544578	0.00622602	-0.00622602	0.0544578	-0.0544578
1.45	1.4	1.5	0.44448	0.00511292	-0.00511292	0.044448	-0.044448
1.55	1.5	1.6	0.340154	0.00384266	-0.00384266	0.0340154	-0.0340154
