centrality	0	20  16.4    1.2					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	1.53834	0.0204508	-0.0204508	0.1230672	-0.1230672
0.65	0.6	0.7	0.997427	0.0125284	-0.0125284	0.07979416	-0.07979416
0.75	0.7	0.8	0.657201	0.00803218	-0.00803218	0.05257608	-0.05257608
0.85	0.8	0.9	0.432589	0.00512919	-0.00512919	0.03460712	-0.03460712
0.95	0.9	1	0.281464	0.00329562	-0.00329562	0.02251712	-0.02251712
1.05	1	1.1	0.192231	0.00223756	-0.00223756	0.01537848	-0.01537848
1.15	1.1	1.2	0.1334	0.00157468	-0.00157468	0.010672	-0.010672
1.25	1.2	1.3	0.0949165	0.00113391	-0.00113391	0.00759332	-0.00759332
1.35	1.3	1.4	0.0668368	0.000800019	-0.000800019	0.005346944	-0.005346944
1.45	1.4	1.5	0.0469316	0.000559161	-0.000559161	0.003754528	-0.003754528
1.55	1.5	1.6	0.0339325	0.000408552	-0.000408552	0.0027146	-0.0027146
1.65	1.6	1.7	0.0250613	0.00030709	-0.00030709	0.002004904	-0.002004904
1.75	1.7	1.8	0.0183284	0.000227659	-0.000227659	0.001466272	-0.001466272
1.85	1.8	1.9	0.0135695	0.000170571	-0.000170571	0.00108556	-0.00108556
1.95	1.9	2	0.0103745	0.000133496	-0.000133496	0.00082996	-0.00082996
2.1	2	2.2	0.00681016	6.48E-05	-6.48E-05	0.000544813	-0.000544813
2.3	2.2	2.4	0.00393848	4.00E-05	-4.00E-05	0.000315078	-0.000315078
2.5	2.4	2.6	0.0023551	2.71E-05	-2.71E-05	0.000188408	-0.000188408
2.7	2.6	2.8	0.0015047	2.06E-05	-2.06E-05	0.000120376	-0.000120376
2.9	2.8	3	0.000940335	1.55E-05	-1.55E-05	7.52E-05	-7.52E-05
3.25	3	3.5	0.000439285	6.74E-06	-6.74E-06	3.95E-05	-3.95E-05
3.75	3.5	4	0.000158563	4.41E-06	-4.41E-06	1.43E-05	-1.43E-05
4.25	4	4.5	6.07E-05	3.04E-06	-3.04E-06	5.47E-06	-5.47E-06
4.75	4.5	5	2.72E-05	2.22E-06	-2.22E-06	2.45E-06	-2.45E-06
							
centrality	0	100 9.5 1.0					
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.836649	0.011105	-0.011105	0.06693192	-0.06693192
0.65	0.6	0.7	0.533231	0.00668212	-0.00668212	0.04265848	-0.04265848
0.75	0.7	0.8	0.346108	0.00421606	-0.00421606	0.02768864	-0.02768864
0.85	0.8	0.9	0.225394	0.00266095	-0.00266095	0.01803152	-0.01803152
0.95	0.9	1	0.145607	0.00169499	-0.00169499	0.01164856	-0.01164856
1.05	1	1.1	0.0990708	0.00114457	-0.00114457	0.007925664	-0.007925664
1.15	1.1	1.2	0.0680438	0.000795305	-0.000795305	0.005443504	-0.005443504
1.25	1.2	1.3	0.0480548	0.000566864	-0.000566864	0.003844384	-0.003844384
1.35	1.3	1.4	0.0336759	0.000396584	-0.000396584	0.002694072	-0.002694072
1.45	1.4	1.5	0.0235481	0.000274716	-0.000274716	0.001883848	-0.001883848
